question_type,text
L-QF,"is moss a plant or a fungus
[ - is that it is a fungus- ] but I am unsure and will update you when I have done further research
Your friend Sienna (:"
L-QF,It was fun to do with classmates and easy it didn't really make a big mess for us my questions are can we go longer and can it get harder cuz what we did was easy .
L-QF,Maybe there is something attracting the moss so it goes north?
L-QF,"[are ant hills living or noliving-- ]
"
L-QF,Did you know that there is a Queen ant?
L-QF,In the court yard the apple tree is tilted did it gorw like that?
L-QF,spiders have a group(name)in the aracnid catogory?
L-QF,"Would we take the time just to make water when it rains every once in a while, and google doesn't know everything"
L-QF,In the courtyard why is the apple tree tilted or did grow tilted?
L-QF,How do the rocks get into our courtyard
L-QF,why did the weather get cold.why did the wather sudenly get hot then get cold
L-QF,if the animals in the GES courtyard had a harsh Storm that flooded the area how would the survive?
L-QF,"[ - is the thorns are usedto keep plant eating animals away.- ]
we should work together on this wondering"
L-QF,What animals live in the court yard?
L-QF,How are animals so social and work together? What are their strategies?
L-QF,is bateria an animal?
L-QF,What can we infer the stuff that pushes the air on our faces on windy days!!!!!!!!
L-QF,[ - that what is the thing that makes the air push on our body? - ]
L-QF,[is that it's wind
L-QF,[ - how we feel air but we can't see it.- ]
L-QF,How does the white soil interact with plants
L-QF,How was white soil created?
L-QF,Why does moss provide a good home for insects
L-QF,If animals don't change their fur for the season then what will happen?
L-QF,when i was walking in the courtyard i was thinking about my theory- what is the sciene behind the evolution of air?- ]
L-QF,What evidence dose the worm home so sandy
L-QF,what evidence do we have how air is invisboll.
L-QF,What can we do to see the air?
L-QF,IS tHAT the green side might be for camofloging with the leef and brown side for sand
L-QF,[ - why we are not able to see air we feel it why can't we see it- ]
L-QF,What can we do to be able to see air?
L-QF,why do the apples fall from the trees and then rot?
L-QF,what causes the poison ivy to interact with humans and create a rash????????
L-QF,"what evidence is there, that there are dangerous animals out in the wild, near our area?"
L-QF,i wonder how they get the blood out
L-QF,[ - are ant hills alive?- ]
L-QF,how do spiders climd walls
L-QF,o think that peguins need feathers to keep themselves warm
L-QF,how do ants build ant hills or do other anamils build ?
L-QF,"[ - How Ants build Ant hills. Do they help other ants build ant hills, or do they make them all alone?- ]"
L-QF,Was metal once living?
L-QF,were do the ants get woter from uder grawnd.???
L-QF,Why can't Peguins fly?
L-QF,What type of trees have small red berries on it
L-QF,Do plants eat sunlight?
L-QF,Why are worms and ants in dirt worms can move only in or near dirt and ants can come out of their ant hil
L-QF,How long do ants live?
L-QF,How does sunlight help living things?
L-QF,how dose the sun help and what dose it do to hel our eco sistme
L-QF,does weather do anything to the ecosyestems?
L-QF,Why do the insects get into the bark into the tree?
L-QF,Why do animals eat
L-QF,why do the anmolls hide in the bushes
L-QF,why do animals hide in the bushes in the wintor ???
L-QF,How do animals get into the court yard
L-QF,"I wonder if a big flower like a sunflower can grow in a small space
from sienna"
L-QF,if a feamle ants eat the right food they turn into queen ants
L-QF,"why is soil thick and black?
why is ther dark forset soil and sandy soil and clay soil?"
L-QF,how deos moss/plants eat thier food
L-QF,so i am wondering how photosythesis works and really what it is? hopefully i can get back to you guys on that.
L-QF,How Does air poulition effect people??
L-QF,Do ants have Love??
L-QF,where is the link?
L-QF,[ - how did are ecosystem start- ]
L-QF,Are ornamental grasses found all over the world ? ??
L-QF,what are ornamental grasses?
L-QF,do ants sleep? do they go into hibernation?
L-QF,[Is that the plant starts to dies when the soil becomes more unheathly or they can't get the minerals that they need.]
L-QF,how do spiders spin weds
L-QF,why do you have to do a controlled fire when you can just cut the plants down
L-QF,"I'm learning about the diffrence between air.
Does the air in the Adirondack Mountains have more or less carbon dixoide then the air in NYC?"
L-QF,HoW dId YoU gEt ThIs?
L-QF,I'm wondering if some stomich acids are emzins?(yes I know I spelled that wrong)
L-QF,Why isn't Africa's water system as well as ours?
L-QF,how are they able to find resources?
L-QF,Why does Africa's water dry up so quickly?
L-QF,[how filters work.
L-QF,[how do filters work?
L-QF,what weill happed if you drink too much water? will you be fine?
L-QF,Where did water come from?
L-QF,You cant make water Right?
L-QF,I am wondering what would happen if you instead of having water for two weeks you drank sugar drinks!
L-QF,Were does water come from?
L-QF,how does water scarcity happen
L-QF,I am wondering why sugar drinks have a taste and water doesn't have one
L-QF,Does this mean that water tastes like nothing?
L-QF,"my wondering is:
what are some ways humans purify water"
L-QF,"can you make water?
i do not think you can"
L-QF,whats water made out of?
L-QF,How would we find a way to increase our water supply to througout the United States instead of just here in America?
L-QF,how do you make water
L-QF,We have so much water in the ocean whats the point of making water
L-QF,ow do you make water can somebody help me
L-QF,Why can't we just strain the salt water to purify the water?
L-QF,"Hi this is Sienna my wondering is how can we move glaciar water to our home town and other places?
thank you"
L-QF,[ - If there is already something that can get the salt out of salt water than we would not be having this unit- ]
L-QF,The reason why is that it is very expensive to desalinate water
L-QF,Why can't Salva just make a water filter
L-QF,[ - How can scientist make cars that drive its self but they can't turn saltwater into freshwater ?- ]
L-QF,can we build filters for your problem?
L-QF,will we ever run out of water? well im going reaserch will we run out of water?
L-QF,how can we help stop water pollution
L-QF,How can we help to get water for those in need all around the world in our community?
L-QF,My new question for the water unit is why can we not make water?
L-QF,I am wondering if milk or water are healthier?
L-QF,if there was no water could you drink juice insted?
L-QF,I wonder how and why do fish breath water?
L-QF,HoW dId YoU gEt ThIs?
L-QF,do ants sleep? do they go into hibernation?
L-QS,"How do tree's grow why does it need water and sunlight.
how many days does it take for a tree to grow. Does it matter if its a different type of tree"
L-QS,"What if the big tree by the school in the court yard fell down,what would happen,would someone get hurt? would we evacute the school or just the class that the tree fell down on. Would the whole school just leave or...what?"
L-QS,"[ - how do bee'shelp us human's? - ]
- ] How do bees help other living things? How is pollination helpful? What is pollination?"
L-QS,Why does poison ivy spread? Does when somebody step in it does it travel from them to other places or does it jut grow unless conained because it is an invasive species?
L-QS,[that why some people can get to water so fast and other people can't. Is it because those countries are hotter and water evaporates faster or is it because they don't have the technology that we have here and we have water pipes and other countries don't?
L-QS,What are leaches and how are they getting attached to us? What happens when they attach on to us?
L-QS,"[ - It is good to see that our HB study is helping to fit some ideas together in this unit, too.
Can you share your resource about the color of urine (pee). I thought the darker your urine, the more dehydrated you are, but that is the opposite of what you are saying. Can you share more?"
L-QS,"do venomous, and poisonous animals eat each other? if they do, do they still live?"
L-QS,"[ - I read on World Almanac that briophytes are actually a type of moss. However, I read on wikipedia that briophytes are a plant. Is it both?- ]
[ - which is true or are both true? Why? What makes something a plant or a moss?- ]
Briophytes don't grow seeds.
http://wak.infobaselearning.com/plants/seedless-plants/diversity-of-mosses.aspx?qHL=bryophytes"
L-QS,"[ - is that they would stilll walk.- ]
But...
[ - How long a spider would live for. Would it live for a minute? A few seconds? An Hour? A day? An average spider life?- ]
[ - Some have 6 legs...- ]"
L-QS,"I have noticed how there are many apple trees, im wondering what effectsrotting apples on the ground to happen.
[ -Why there are rotting apples on the ground out of nowhere. Do animals and weather make this happen? Does time matter?
[ -I'm thinking rotting apples happen when insects go through eating the apple (sometimes happens) , when it's finished, the apple has less enerygy so time makes it rot. - ]
- ]"
L-QS,"[ - What would happen if you cut off a root from a tree will it die or will it still live or will the leaves fall off the tree- ]
[ - I think the roots carrie nutrients - ]"
L-QS,my theory about moss is that if Moss grows and livesthen shuolden't it grow on every living thing. In the courtyard I saw it was only on trees and the dirt.But why was the Moss on the dirt? Dirt is Non-living
L-QS,"[ My theory is mabye if they pertend to be deid on the berrys al the stink bugs will think he died and if they think it is deid no one will go on the berry and it can just keep sucking it- ]
[ - how they get so smart if that is the case- ]"
L-QS,"I noticed the apple tree had some leaves that were green and some were yellow.
[ - why the leaves are different colors. I know the temperature is getting cooler. Does that impact the way the tree changes?
[ - is that the leaves will eventually get so old they turn colors like my hair is so old it has turned gray.- ]
- ]"
L-QS,the other day in the courtyard by the bench I saw two different colors of moss and I am wonderingif they were just different colors or different kinds of moss.
L-QS,"I noticed that the leaves after they fall of the tree they turn a different color,texture and look what happens to the leaves after they are fully different form does it get blown away by the wind or turn into compost?"
L-QS,"I noticed that when the wind blow the leaves fell off the tree.
[ - why the weather effects living and non-living matter in the GES ecosytem?- ]
[ - is thay when the weather puts presure on the matter like hail,rain or wind the matter falls,flattens or moves, like when you get pushed you fall forward.- ]"
L-QS,"I noticed that moss grows alot in places, in trees on the ground and rocks
[ - that moss grows in many different places. I know trees, ground and rocks have minerals. Does that help moss grow on those places?
[ - is that moss grows in many different places because it spreads when moss fully covers rocks or the ground."
L-QS,"I noticed that moss does not have seeds.
[ - that why does moss grow if it does not have seeds so it can grow.
[ - is moss is growing because a reaction that supposedly it makes moss grow.- ]"
L-QS,"I heard that posin ivy can make you very ichy there must be something in it.
I am wondering what is in the alergetic oil posin ivy gives. How dose it interact with the human skin how come the body dose not like that oil. Is there something we can invent something to make it so you are not afected by posin Ivy for a sertan amont of time."
L-QS,"I Was Wondering How Weather Effects Living And Non-Living Matter?
[ - Is How Living And Non-Living Matter Reacts To The Different Types Of Weather.- ]
[ - What happens to the Living And Non-Living Matter When Its Snowing Or Theres A Tornado Or Say If There Was A Tsunami I Want To Know What Happens!- ]"
L-QS,"I've noticesd that stars are made out of fire and they need oxgen. but in space there is no oxgen so how do they burn
[ - is that the fire there burns on gas- ]"
L-QS,i wondering if the risen why there is so many todes outside is because of the tadpoles in the buket pluse how fides them and how they live
L-QS,"[ - why moss has different colors and what it means to have all these different colors- ]
[ - is maybe it means it is poisonousor it means that its a different type of moss - ]"
L-QS,[ - what is the yellow tanish stuff that kind of looks like roots or ginger. so I smelled    it and it smelled like fresh grass and kind of like garlic- ]
L-QS,"How does moss have an impact on wild life in our court yard.
[ - I think moss is soft so it can be used as a resting place or making a nest.- ]"
L-QS,"I am wondering how roots work. How does the water get in there? What else might the tree need?
[ - is that plants may also need sun. - ]
[ - what they need sun for and how they get it.- ]"
L-QS,"[ - Why the catipillar will go on the trees and leaves but instead it goes on walls of our courtyard and likes that type of ecosystem but I still don't understand why? Because if the other breed of catipillars do it the same kind as the one that was in our courtyard why do these only type of catipillar like this and not the trees and leaves?- ]
[ - why a regular catipillar was liking the ecosystem of the wall? Why didn't it like the regular ecosystem that catipillars live in?- ]"
L-QS,"[ - is it wont grow and it will just fall down- ]
[ - if there is still sun will it grow- ]"
L-QS,"(I'm talking about the stem, not the flower, like a rose.)
[ - is that it stings the predator trying to eat it. But I think it's impossible.- ]
[ - Why does it have THORNS? Do they Sting? Do they do nothng at all? Are they WORTHLESS?- ]"
L-QS,My first question was why are some plants bad to touch? But my question now is... If some plants are good to touch and eat then why are some plants poisionous.
L-QS,"[ - is that animanles clime under ground to the court yard and eat bugs and frogs other animales to how do all those other animanles
- ]"
L-QS,im wondering how frogs\todes live in this environment pluse how do thise tad poles live here and what wants them to live here. mabey they think this is a miny lake.
L-QS,"[ - if the grass hopper is living in the courtyard because there is some nutrients from the trees or if there are hidden food supplies there- ]
[ - if there is somthing that is in the court yard that makes the grasshopper want to live in te courtyard- ]"
L-QS,"[ - is that mabye 2 grass hoppers went arcross the top of the building and had a lot of kids (grass hoppers) and thats how- ]
[ - how the grass hoppers made it across- ]"
L-QS,"Why do birds have feathers, even if they cant fly?
[ - If pengiuns cant fly why do they need feathers? wouldn't they be better of if they had thick fur like mammal?.- ]"
L-QS,"[ - is that the ground hog that we saw might live here in guilderland because there are nutrients maybe here so that is why i am searching wy groundhogs live in guilderland- ]
[ - why ground hogs live in guilderland- ]"
L-QS,"[ - if the sun is so far away, how can we still feel the hotness of the sun?- ]"
L-QS,"why do things rot
things rot because when you peel a orange the air efects the orange"
L-QS,"[ - why snakes can slither wouldn't its tail be more efficent in the water I wounder if a snake addapted when it started living on land?
[ -is that how can snakes eat somthing bigger than them wouldn't it take weeks for something that size to be diegested so I'm woundering if snakes go into hiding and have a small hibernation.
[ -is that mabey after alarge meal its normal to sleep to help diegest foods and liquids."
L-QS,"[ - I know from studying air that warm air rises.
but
[ - why its cold in the mountain tops if heat rises?
[ - is that the warm air is even higher up than the peak of a mountain.
[ - the constaint warm air rissing.
or dose it cool off before reaching the hight of a mountain?Again
[ - the wourld wide problem of gloabelwarming. How dose the warm air rise high enough?"
L-QS,This theroy I cannot explain but why do diffrent spiders have diffrent behaviors? Is it just that they react to certian things in a certian way or what?
L-QS,"How Do Ant Build Ant Hills?
[ - is That They Use Their Back to Carry Dirt And Have Groups Called.. A Colony.- ]
[ - How Long Do Ant's Take to build ant hills?""- ]"
L-QS,"my wondering is ifbirds, bats, dragonflies, frogs, and spiderseat mosquitoes.will they get the disease? Ifthey get the dieaseses they would die and they will eventually will go inxtinctand there will no mosquito feeders then there will be alot of mosquitoes and they alot of people will get the diseases and alot mamals will die. :("
L-QS,im lerning aboute the pine barrens in guilderland. and how dose the prescribed burns help the pine barrens?
L-QS,If you put Carbon Dioxid in a cup with a plant you know it will go back to blue but if you dont Put a plant in will it still go back to Blue????
L-QS,"I need to understand, how would water get to those in need? My theory is that you could build underground tubes instead of over ground tubes, that way, you can deliver watr without it interfearing with roads, and buildings."
L-QS,"[- ifour water is coming from the ocean water that evaporates and later rains, does rain water have salt in it, too?"
L-QS,I am wondering if water forms in space. What if the Hyderojen and oxegen bind then came to earth some how. Can we make water on earth by binding the two elemnts.
L-QS,"[ - is that Soda is way unhealither than Water.- ]
Soda has Sugar and other unhealther products.
Water has... just water.
Is there any other differences?"
L-QS,"Water is unheathy,or does this mean that you get something un heathy with that?"
L-QS,[ - why we can't just boil the salt out of the water and filter it. Also if the water is moving from the ocean to rivers to lakes and streams where it gets cleaned and drinked then why can't we just take out the salt and clean the ocean water - ] of couse then we would have to see how to get it to people in need but still why can't we just do that stuff to the sea water and just deel with it if it is clean it makes no sense!
L-QS,what if we had fiters that can filter the salt out of salt water oh wait we do so why can´t we just take a lot of those filter and put thenm all around the world and then peopl can get fresh water all the time and the fresh water can go to alot of good cause and all those cause are food and health .
L-QS,"[ - is- ] that water is way heather than soda
[ - is- ] soda has a lot of calerles and water is way beter than soda and milk is better than"
L-QS,[ - I read a book and it said that if there were no moon there would be no waves is that true? And if it was true Why?- ]
