question_type,text
L-QS,"My question is that, if it rains a lot in the rain forests, then why doesn't it rain in the dry area's? And also the world should try to focus mainly at trying to get food and water around the world, to those in need.
[ - Is that people are mainly focusing on how to advance technology, and how to make a new way to do something easier that is already easy. That's fine, but we need to put most of our time and focus into getting food and water to those in need.- ]
[ - is that maybe if kids and younger people have to fetch water, how about other people from around the world can make programs and help them and find more water. - ]"
L-QS,why do we have a better water system than other counries? What makes it different for them? Is it because the other countries are hotter than ours? like Africa?
L-QF,"-
[    I need to understand are ant hills living or noliving-- ]    
- ]"
L-QF,[    I need to understand  - are ant hills alive?- ]
L-QF,"[    I need to understand  - How Ants build Ant hills. Do they help other ants build ant hills, or do they make them all alone?- ]"
L-QF,[    I need to understand  - how did are ecosystem start- ]
L-QF,[    I need to understand  - how do ants build ant hills- ]
L-QF,[    I need to understand  - how we feel air but we can't see it.- ]
L-QF,[    I need to understand  - if a femail ant can become a queen be from eating the right food then what happes if a mail eats the right food.- ]
L-QF,"[    I need to understand  - if the sun is so far away, how can we still feel the hotness of the sun?- ]    
- - ]"
L-QF,[    I need to understand  - that what is the thing that makes the air push on our body? - ]
L-QF,"[    I need to understand  - the evidence of how moss is fuzzy
[    My theory  - - ]    
- ]"
L-QF,[    I need to understand  - what is the yellow tanish stuff that kind of looks like roots or ginger. so I smelled    it and it smelled like fresh grass and kind of like garlic- ]
L-QF,[    I need to understand  - why we are not able to see air we feel it why can't we see it- ]
L-QF,"[    I need to understand ""why Do Some Catepillars Have Fur Kind OF Suff?"" (
Image -> https://kf6.rit.albany.edu//manual_assets/kf4images/icon-note-unread-othr-.gif
""My Wondering. BY SHREYAS SRIVASTAV"" (Link->contribution/5bb64dcb502a7223616d129e)
by Shreyas Srivastav) -- ]"
L-QF,Are ornamental grasses found all over the world ? ??
L-QF,Did you know that there is a Queen ant?
L-QF,Do ants have Love??
L-QF,do ants sleep? do they go into hibernation?
L-QF,Do plants eat sunlight?
L-QF,"do venomous, and poisonous animals eat each other? if they do, do they still live?"
L-QF,does weather do anything to the ecosyestems?
L-QF,Dose anyone have any good experaments???
L-QF,How are animals so social and work together? What are their strategies?
L-QF,how deos moss/plants eat thier food
L-QF,HoW dId YoU gEt ThIs?
L-QF,How do animals get into the court yard
L-QF,how do ants build ant hills or do other anamils build ?
L-QF,how do spiders climd walls
L-QF,how do spiders spin weds
L-QF,How do the rocks get into our courtyard
L-QF,"How do tree's grow why does it need water and sunlight.
how many days does it take for a tree to grow. Does it matter if its a different type of tree"
L-QF,How Does air poulition effect people??
L-QF,How does sunlight help living things?
L-QF,How does the white soil interact with plants
L-QF,how dose the sun help and what dose it do to hel our eco sistme
L-QF,How long can a Queen bee live?
L-QF,how long can bees live in there lifetime.
L-QF,How long do ants live?
L-QF,How was white soil created?
L-QF,i DEFINITEY AGREE with this. But are they strong enough too crush 10? Or MORE?
L-QF,I have a new theroy about how ants build their houses. I think they could possibaly push sand/mud/dirt to were they want the anthills.
L-QF,i wonder how they get the blood out
L-QF,"I wonder if a big flower like a sunflower can grow in a small space
from sienna
[    My theory  - is no it cant- ]"
L-QF,"I'm learning about the diffrence between air.
Does the air in the Adirondack Mountains have more or less carbon dixoide then the air in NYC?"
L-QF,I'm wondering if some stomich acids are emzins?(yes I know I spelled that wrong)
L-QF,If animals don't change their fur for the season then what will happen?
L-QF,if the animals in the GES courtyard had a harsh Storm that flooded the area how would the survive?
L-QF,If you put Carbon Dioxid in a cup with a plant you know it will go back to blue but if you dont Put a plant in will it still go back to Blue????
L-QF,im lerning aboute the pine barrens in guilderland. and how dose the prescribed burns help the pine barrens?
L-QF,im wondering how frogs\todes live in this environment pluse how do thise tad poles live here and what wants them to live here. mabey they think this is a miny lake.
L-QF,In the court yard the apple tree is tilted did it gorw like that?
L-QF,In the courtyard why is the apple tree tilted or did grow tilted?
L-QF,is bateria an animal?
L-QF,My first question was why are some plants bad to touch? But my question now is... If some plants are good to touch and eat then why are some plants poisionous.
L-QF,so i am wondering how photosythesis works and really what it is? hopefully i can get back to you guys on that.
L-QF,wacht thishttps://www.youtube.com/watch?v=J0DT_Te0xZ4
L-QF,Was metal once living?
L-QF,were do the ants get woter from uder grawnd.???
L-QF,What animals live in the court yard?
L-QF,what are ornamental grasses?
L-QF,What can we do to be able to see air?
L-QF,What can we do to see the air?
L-QF,What can we infer the stuff that pushes the air on our faces on windy days!!!!!!!!
L-QF,what causes the poison ivy to interact with humans and create a rash????????
L-QF,what evidence do we have how air is invisboll.
L-QF,What evidence dose the worm home so sandy
L-QF,"what evidence is there, that there are dangerous animals out in the wild, near our area?"
L-QF,What type of trees have small red berries on it
L-QF,"When i was out in the courtyard i saw a lot of moss my question is how it got there
[    I need to understand  -- ]"
L-QF,when i was walking in the courtyard i was thinking about my theory- what is the sciene behind the evolution of air?- ]
L-QF,where is the link?
L-QF,Why are worms and ants in dirt worms can move only in or near dirt and ants can come out of their ant hil
L-QF,why are you talking about ants on the photosynthesis page!
L-QF,Why can't Peguins fly?
L-QF,why did the weather get cold.why did the wather sudenly get hot then get cold
L-QF,Why do animals eat
L-QF,why do animals hide in the bushes in the wintor ???
L-QF,why do the anmolls hide in the bushes
L-QF,why do the apples fall from the trees and then rot?
L-QF,Why do the insects get into the bark into the tree?
L-QF,"why do things rot
things rot because when you peel a orange the air efects the orange"
L-QF,why do you have to do a controlled fire when you can just cut the plants down
L-QF,Why does moss provide a good home for insects
L-QS,"(I'm talking about the stem, not the flower, like a rose.)
[    My theory  - is that it stings the predator trying to eat it. But I think it's impossible.- ]    
[    I need to understand  - Why does it have THORNS? Do they Sting? Do they do nothng at all? Are they WORTHLESS?- ]"
L-QS,"[    I need to understand  - how worms move in the soil.- ]    
[    My theory  - is that they move similarly to a snake, they kind of move like slinking around in the soil.- ]"
L-QS,"[    I need to understand  - If animals live in our school cuortyard and i think animals do live in the court yard because there are alot of holes in one of the trees- ]    
[    This theory cannot explain  - if animals live in the courtyard- ]"
L-QS,"[    I need to understand  - if the grass hopper is living in the courtyard because there is some nutrients from the trees or if there are hidden food supplies there- ]    
[    This theory cannot explain  - if there is somthing that is in the court yard that makes the grasshopper want to live in te courtyard- ]"
L-QS,"[    I need to understand  - What would happen if you cut off a root from a tree will it die or will it still live or will the leaves fall off the tree- ]    
[    My theory  - I think the roots carrie nutrients - ]"
L-QS,"[    I need to understand  - why moss has different colors and what it means to have all these different colors- ]    
[    My theory  - is maybe it means it is poisonousor it means that its a different type of moss - ]"
L-QS,"[    I need to understand  - why snakes can slither wouldn't its tail be more efficent in the water I wounder if a snake addapted when it started living on land?
[    New Information  -is that how can snakes eat somthing bigger than them wouldn't it take weeks for something that size to be diegested so I'm woundering if snakes go into hiding and have a small hibernation.
[    My theory  -is that mabey after alarge meal its normal to sleep to help diegest foods and liquids."
L-QS,"[    My theory  -
[    My theory  - how do bee'shelp us human's? - ]    
- ]     How do bees help other living things? How is pollination helpful? What is pollination?"
L-QS,"[    My theory  - is it wont grow and it will just fall down- ]    
[    I need to understand  - if there is still sun will it grow- ]"
L-QS,"[    My theory  - is mabye if they pertend to be deid on the berrys al the stink bugs will think he died and if they think it is deid no one will go on the berry and it can just keep sucking it- ]    
[    I need to understand  - how they get so smart if that is the case- ]"
L-QS,"[    My theory  - is that maybe some dirt was on the brick and the moss spores may have grown from the dirt.- ]    
I wonder if moss needs dirt to live?
I wonder what moss needs to live?
I think we should answer this question first."
L-QS,"[    My theory  - is that they are all over the berys because they are sucking the jucie out of the berys to eat- ]    
[    I need to understand  - why some of them are not moving when they are on the berys- ]"
L-QS,"[    My theory  - is that they would stilll walk.- ]    
But...
[    I need to understand  - How long a spider would live for. Would it live for a minute? A few seconds? An Hour? A day? An average spider life?- ]    
[    New Information  - Some have 6 legs...- ]"
L-QS,"[    My theory  - is: the beetle has 2 colors for camoflouge- ]    
[    This theory cannot explain  - why the brown side has designs - ]    
[    I need to understand  - why the beetle has 2 colors and designson the top - ]"
L-QS,"[    My theory  - isthat i found out how decomposers get were they need to go . They travel in the air like little particals in the dirt but a little diffrent .
[    I need to understand how the decomposers give use and animales rotten food . Like do they giv off like a smell to the food."
L-QS,"[    New Information  - I read on World Almanac that briophytes are actually a type of moss. However, I read on wikipedia that briophytes are a plant. Is it both?- ]    
[    I need to understand  - which is true or are both true? Why? What makes something a plant or a moss?- ]    
Briophytes don't grow seeds.
http://wak.infobaselearning.com/plants/seedless-plants/diversity-of-mosses.aspx?qHL=bryophytes"
L-QS,"[    New Information  -there are diffrent types of moss such asiron moss wich will only grow on thigs with heavy amounts of iron on it- ]    
[    I need to understand  - How do moss get on things like on Trees, grass, Benches and the cement and on the door and the wall.
[    My theory  - I think that it was made by Rain and old or dry grass.- ]"
L-QS,"[    Putting our knowledge together  - I know from studying air that warm air rises.
but
[    I need to understand  - why its cold in the mountain tops if heat rises?
[    My theory  - is that the warm air is even higher up than the peak of a mountain.
[    This theory cannot explain  - the constaint warm air rissing.
or dose it cool off before reaching the hight of a mountain?Again
[    This theory cannot explain  - the wourld wide problem of gloabelwarming. How dose the warm air rise high enough?"
L-QS,"[    This theory cannot explain  - Why the catipillar will go on the trees and leaves but instead it goes on walls of our courtyard and likes that type of ecosystem but I still don't understand why? Because if the other breed of catipillars do it the same kind as the one that was in our courtyard why do these only type of catipillar like this and not the trees and leaves?- ]    
[    I need to understand  - why a regular catipillar was liking the ecosystem of the wall? Why didn't it like the regular ecosystem that catipillars live in?- ]"
L-QS,"According to World Book Kids, all living things need food and water to survive. If something doesn't need food and water, then it is not living.
[    This theory cannot explain  - if the sun is a living thing. It doesn't need water or food.- ]    
Does a thing need to be able to move in order to be living?
Is there anything else a living thing might need?"
L-QS,"Ant houses are called anthills and they are made out of sand and maybe other things? They are shaped like a tiny hill. There is a hole at the top of the hill. Ants climb in and out of it. It appears to act as a door.
[    I need to understand  - how such little ants can carry grains of sand and how do they make it stick?- ]    
[    I need to understand  - how do ants dig? How do they make tunnels?- ]"
L-QS,"But if a female eats a sirtin thing they will be a queen and startes a new colnie
[    I need to understand how she takes care of all of thosse babies when she did not take any worker ants-- ]"
L-QS,"How Do Ant Build Ant Hills?
[    My theory  - is That They Use Their Back to Carry Dirt And Have Groups Called.. A Colony.- ]    
[    I need to understand  - How Long Do Ant's Take to build ant hills?""- ]"
L-QS,"How does moss have an impact on wild life in our court yard.
[    My theory  - I think moss is soft so it can be used as a resting place or making a nest.- ]"
L-QS,"I am wondering how roots work. How does the water get in there? What else might the tree need?
[    My theory  - is that plants may also need sun. - ]    
[    I need to understand  - what they need sun for and how they get it.- ]"
L-QS,"I belive that birds insect spiders and moss live in trees
[    I need to understand  -What other things live in trees?- ]"
L-QS,"I have noticed how there are many apple trees, im wondering what effectsrotting apples on the ground to happen.
[    I need to understand  -Why there are rotting apples on the ground out of nowhere. Do animals and weather make this happen? Does time matter?
[    My theory  -I'm thinking rotting apples happen when insects go through eating the apple (sometimes happens) , when it's finished, the apple has less enerygy so time makes it rot. - ]    
- ]"
L-QS,"I heard that posin ivy can make you very ichy there must be something in it.
I am wondering what is in the alergetic oil posin ivy gives. How dose it interact with the human skin how come the body dose not like that oil. Is there something we can invent something to make it so you are not afected by posin Ivy for a sertan amont of time."
L-QS,"I know that LIVING things eat to grow bigger.
I can see that the fuzzy stuff is getting bigger and the fruit is shrinking.
This makes me think the fuzzy stuff is a living thing.
Since the fruit is from a plant, and I know that decomposers eat plants, I think the fuzzy stuff on the fruit is a decomposer.
I need to understand Where did the decomposer come from?
I need to understand How is this mini ecosystem like our larger GES COURTYARD ECOSYSTEM?"
L-QS,"I know that the sun is bigger than all the plantes in the solarsystem it has molucuels that giving more than enough energy to power all life on earth
[    I need to understand  - how sunlight afects the plants and trees by mixing with water and crbon dioxide- ]"
L-QS,"I know that trees drop leaves onto the grass. I wonder where those leaves go.
[    My theory  - is that trees can be a home for other living things.I wonder what things live in OUR trees and why? - ]    
[    This theory cannot explain  - why those things choose to live in the tree.- ]"
L-QS,"I noticed that moss grows alot in places, in trees on the ground and rocks
[    (missing link)  - that moss grows in many different places. I know trees, ground and rocks have minerals. Does that help moss grow on those places?
[    (missing link)  - is that moss grows in many different places because it spreads when moss fully covers rocks or the ground."
L-QS,"I noticed that the leaves after they fall of the tree they turn a different color,texture and look what happens to the leaves after they are fully different form does it get blown away by the wind or turn into compost?"
L-QS,"I think that they build anthills by carreying the sand 1 by 1
how many ants live in a arige anthill"
L-QS,"I Was Wondering How Weather Effects Living And Non-Living Matter?
[    A better theory  - Is How Living And Non-Living Matter Reacts To The Different Types Of Weather.- ]    
[    I need to understand  - What happens to the Living And Non-Living Matter When Its Snowing Or Theres A Tornado Or Say If There Was A Tsunami I Want To Know What Happens!- ]"
L-QS,"I was wondering in the winter when tree leafs change color and fall I was wondering if poison ivy did that too.
Because poison ivy is A leaf as well but maybe the poison in the poison ivy makes it stay alive in the winter but I'm not so sure"
L-QS,i wondering if the risen why there is so many todes outside is because of the tadpoles in the buket pluse how fides them and how they live
L-QS,"if you know whats going on inside an ant home
HOW do you know whats going on inside an ant home.
I think was going on is they are gathering food
Because the cold winter is coming.
I know this because i mostly see
ants cralwing outside picking up leaves for food"
L-QS,"in my
[    New Information  - I learned most ants cant have babys but one can so thats the queen. but it I also learned that when a queen dies the collney dies- ]    
[    I need to understand  - how this gose with a ant eating the right food.- ]"
L-QS,"is moss a plant or a fungus
[    My theory  - is that it is a fungus- ]     but I am unsure and will update you when I have done further research
Your friend Sienna (:"
L-QS,"my theory about moss is that if Moss grows and livesthen shuolden't it grow on every living thing.
In the courtyard I saw it was only on trees and the dirt.But why was the Moss on the dirt? Dirt is
Non-living"
L-QS,"my wondering is ifbirds, bats, dragonflies, frogs, and spiderseat mosquitoes.will they get the disease? Ifthey get the dieaseses they would die and they will eventually will go inxtinctand there will no mosquito feeders then there will be alot of mosquitoes and they alot of people will get the diseases and alot mamals will die. :("
L-QS,This theroy I cannot explain but why do diffrent spiders have diffrent behaviors? Is it just that they react to certian things in a certian way or what?
L-QS,"what evidence do we have to prove why we need air and why fish don't.
Fish might have some kind part in their body to help them survive in water with no air.
It might be the gills or maybe their heart has some kind of organ that gives them air"
L-QS,"What if the big tree by the school in the court yard fell down,what would happen,would someone get hurt? would we evacute the school or just the class that the tree fell down on. Would the whole school just leave or...what?"
L-QS,"Why do birds have feathers, even if they cant fly?
[    I need to understand  - If pengiuns cant fly why do they need feathers? wouldn't they be better of if they had thick fur like mammal?.- ]"
L-QS,Why does poison ivy spread? Does when somebody step in it does it travel from them to other places or does it jut grow unless conained because it is an invasive species?
L-QS,"why is soil thick and black?
why is ther dark forset soil and sandy soil and clay soil?"