all_type,text
L-Q,"is moss a plant or a fungus
[ - is that it is a fungus- ] but I am unsure and will update you when I have done further research
Your friend Sienna (:"
L-Q,It was fun to do with classmates and easy it didn't really make a big mess for us my questions are can we go longer and can it get harder cuz what we did was easy .
L-Q,Maybe there is something attracting the moss so it goes north?
L-Q,"[are ant hills living or noliving-- ]
"
L-Q,Did you know that there is a Queen ant?
L-Q,In the court yard the apple tree is tilted did it gorw like that?
L-Q,spiders have a group(name)in the aracnid catogory?
L-Q,"Would we take the time just to make water when it rains every once in a while, and google doesn't know everything"
L-Q,In the courtyard why is the apple tree tilted or did grow tilted?
L-Q,How do the rocks get into our courtyard
L-Q,why did the weather get cold.why did the wather sudenly get hot then get cold
L-Q,if the animals in the GES courtyard had a harsh Storm that flooded the area how would the survive?
L-Q,"[ - is the thorns are usedto keep plant eating animals away.- ]
we should work together on this wondering"
L-Q,What animals live in the court yard?
L-Q,How are animals so social and work together? What are their strategies?
L-Q,is bateria an animal?
L-Q,What can we infer the stuff that pushes the air on our faces on windy days!!!!!!!!
L-Q,[ - that what is the thing that makes the air push on our body? - ]
L-Q,[is that it's wind
L-Q,[ - how we feel air but we can't see it.- ]
L-Q,How does the white soil interact with plants
L-Q,How was white soil created?
L-Q,Why does moss provide a good home for insects
L-Q,If animals don't change their fur for the season then what will happen?
L-Q,when i was walking in the courtyard i was thinking about my theory- what is the sciene behind the evolution of air?- ]
L-Q,What evidence dose the worm home so sandy
L-Q,what evidence do we have how air is invisboll.
L-Q,What can we do to see the air?
L-Q,IS tHAT the green side might be for camofloging with the leef and brown side for sand
L-Q,[ - why we are not able to see air we feel it why can't we see it- ]
L-Q,What can we do to be able to see air?
L-Q,why do the apples fall from the trees and then rot?
L-Q,what causes the poison ivy to interact with humans and create a rash????????
L-Q,"what evidence is there, that there are dangerous animals out in the wild, near our area?"
L-Q,i wonder how they get the blood out
L-Q,[ - are ant hills alive?- ]
L-Q,how do spiders climd walls
L-Q,o think that peguins need feathers to keep themselves warm
L-Q,how do ants build ant hills or do other anamils build ?
L-Q,"[ - How Ants build Ant hills. Do they help other ants build ant hills, or do they make them all alone?- ]"
L-Q,Was metal once living?
L-Q,were do the ants get woter from uder grawnd.???
L-Q,Why can't Peguins fly?
L-Q,What type of trees have small red berries on it
L-Q,Do plants eat sunlight?
L-Q,Why are worms and ants in dirt worms can move only in or near dirt and ants can come out of their ant hil
L-Q,How long do ants live?
L-Q,How does sunlight help living things?
L-Q,how dose the sun help and what dose it do to hel our eco sistme
L-Q,does weather do anything to the ecosyestems?
L-Q,Why do the insects get into the bark into the tree?
L-Q,Why do animals eat
L-Q,why do the anmolls hide in the bushes
L-Q,why do animals hide in the bushes in the wintor ???
L-Q,How do animals get into the court yard
L-Q,"I wonder if a big flower like a sunflower can grow in a small space
from sienna"
L-Q,if a feamle ants eat the right food they turn into queen ants
L-Q,"why is soil thick and black?
why is ther dark forset soil and sandy soil and clay soil?"
L-Q,how deos moss/plants eat thier food
L-Q,so i am wondering how photosythesis works and really what it is? hopefully i can get back to you guys on that.
L-Q,How Does air poulition effect people??
L-Q,Do ants have Love??
L-Q,where is the link?
L-Q,[ - how did are ecosystem start- ]
L-Q,Are ornamental grasses found all over the world ? ??
L-Q,what are ornamental grasses?
L-Q,do ants sleep? do they go into hibernation?
L-Q,[Is that the plant starts to dies when the soil becomes more unheathly or they can't get the minerals that they need.]
L-Q,how do spiders spin weds
L-Q,why do you have to do a controlled fire when you can just cut the plants down
L-Q,"I'm learning about the diffrence between air.
Does the air in the Adirondack Mountains have more or less carbon dixoide then the air in NYC?"
L-Q,HoW dId YoU gEt ThIs?
L-Q,I'm wondering if some stomich acids are emzins?(yes I know I spelled that wrong)
L-Q,Why isn't Africa's water system as well as ours?
L-Q,how are they able to find resources?
L-Q,Why does Africa's water dry up so quickly?
L-Q,[how filters work.
L-Q,[how do filters work?
L-Q,what weill happed if you drink too much water? will you be fine?
L-Q,Where did water come from?
L-Q,You cant make water Right?
L-Q,I am wondering what would happen if you instead of having water for two weeks you drank sugar drinks!
L-Q,Were does water come from?
L-Q,how does water scarcity happen
L-Q,I am wondering why sugar drinks have a taste and water doesn't have one
L-Q,Does this mean that water tastes like nothing?
L-Q,"my wondering is:
what are some ways humans purify water"
L-Q,"can you make water?
i do not think you can"
L-Q,whats water made out of?
L-Q,How would we find a way to increase our water supply to througout the United States instead of just here in America?
L-Q,how do you make water
L-Q,We have so much water in the ocean whats the point of making water
L-Q,ow do you make water can somebody help me
L-Q,Why can't we just strain the salt water to purify the water?
L-Q,"Hi this is Sienna my wondering is how can we move glaciar water to our home town and other places?
thank you"
L-Q,[ - If there is already something that can get the salt out of salt water than we would not be having this unit- ]
L-Q,The reason why is that it is very expensive to desalinate water
L-Q,Why can't Salva just make a water filter
L-Q,[ - How can scientist make cars that drive its self but they can't turn saltwater into freshwater ?- ]
L-Q,can we build filters for your problem?
L-Q,will we ever run out of water? well im going reaserch will we run out of water?
L-Q,how can we help stop water pollution
L-Q,How can we help to get water for those in need all around the world in our community?
L-Q,My new question for the water unit is why can we not make water?
L-Q,I am wondering if milk or water are healthier?
L-Q,if there was no water could you drink juice insted?
L-Q,I wonder how and why do fish breath water?
L-Q,HoW dId YoU gEt ThIs?
L-Q,do ants sleep? do they go into hibernation?
L-Q,"How do tree's grow why does it need water and sunlight.
how many days does it take for a tree to grow. Does it matter if its a different type of tree"
L-Q,"What if the big tree by the school in the court yard fell down,what would happen,would someone get hurt? would we evacute the school or just the class that the tree fell down on. Would the whole school just leave or...what?"
L-Q,"[ - how do bee'shelp us human's? - ]
- ] How do bees help other living things? How is pollination helpful? What is pollination?"
L-Q,Why does poison ivy spread? Does when somebody step in it does it travel from them to other places or does it jut grow unless conained because it is an invasive species?
L-Q,[that why some people can get to water so fast and other people can't. Is it because those countries are hotter and water evaporates faster or is it because they don't have the technology that we have here and we have water pipes and other countries don't?
L-Q,What are leaches and how are they getting attached to us? What happens when they attach on to us?
L-Q,"[ - It is good to see that our HB study is helping to fit some ideas together in this unit, too.
Can you share your resource about the color of urine (pee). I thought the darker your urine, the more dehydrated you are, but that is the opposite of what you are saying. Can you share more?"
L-Q,"do venomous, and poisonous animals eat each other? if they do, do they still live?"
L-Q,"[ - I read on World Almanac that briophytes are actually a type of moss. However, I read on wikipedia that briophytes are a plant. Is it both?- ]
[ - which is true or are both true? Why? What makes something a plant or a moss?- ]
Briophytes don't grow seeds.
http://wak.infobaselearning.com/plants/seedless-plants/diversity-of-mosses.aspx?qHL=bryophytes"
L-Q,"[ - is that they would stilll walk.- ]
But...
[ - How long a spider would live for. Would it live for a minute? A few seconds? An Hour? A day? An average spider life?- ]
[ - Some have 6 legs...- ]"
L-Q,"I have noticed how there are many apple trees, im wondering what effectsrotting apples on the ground to happen.
[ -Why there are rotting apples on the ground out of nowhere. Do animals and weather make this happen? Does time matter?
[ -I'm thinking rotting apples happen when insects go through eating the apple (sometimes happens) , when it's finished, the apple has less enerygy so time makes it rot. - ]
- ]"
L-Q,"[ - What would happen if you cut off a root from a tree will it die or will it still live or will the leaves fall off the tree- ]
[ - I think the roots carrie nutrients - ]"
L-Q,my theory about moss is that if Moss grows and livesthen shuolden't it grow on every living thing. In the courtyard I saw it was only on trees and the dirt.But why was the Moss on the dirt? Dirt is Non-living
L-Q,"[ My theory is mabye if they pertend to be deid on the berrys al the stink bugs will think he died and if they think it is deid no one will go on the berry and it can just keep sucking it- ]
[ - how they get so smart if that is the case- ]"
L-Q,"I noticed the apple tree had some leaves that were green and some were yellow.
[ - why the leaves are different colors. I know the temperature is getting cooler. Does that impact the way the tree changes?
[ - is that the leaves will eventually get so old they turn colors like my hair is so old it has turned gray.- ]
- ]"
L-Q,the other day in the courtyard by the bench I saw two different colors of moss and I am wonderingif they were just different colors or different kinds of moss.
L-Q,"I noticed that the leaves after they fall of the tree they turn a different color,texture and look what happens to the leaves after they are fully different form does it get blown away by the wind or turn into compost?"
L-Q,"I noticed that when the wind blow the leaves fell off the tree.
[ - why the weather effects living and non-living matter in the GES ecosytem?- ]
[ - is thay when the weather puts presure on the matter like hail,rain or wind the matter falls,flattens or moves, like when you get pushed you fall forward.- ]"
L-Q,"I noticed that moss grows alot in places, in trees on the ground and rocks
[ - that moss grows in many different places. I know trees, ground and rocks have minerals. Does that help moss grow on those places?
[ - is that moss grows in many different places because it spreads when moss fully covers rocks or the ground."
L-Q,"I noticed that moss does not have seeds.
[ - that why does moss grow if it does not have seeds so it can grow.
[ - is moss is growing because a reaction that supposedly it makes moss grow.- ]"
L-Q,"I heard that posin ivy can make you very ichy there must be something in it.
I am wondering what is in the alergetic oil posin ivy gives. How dose it interact with the human skin how come the body dose not like that oil. Is there something we can invent something to make it so you are not afected by posin Ivy for a sertan amont of time."
L-Q,"I Was Wondering How Weather Effects Living And Non-Living Matter?
[ - Is How Living And Non-Living Matter Reacts To The Different Types Of Weather.- ]
[ - What happens to the Living And Non-Living Matter When Its Snowing Or Theres A Tornado Or Say If There Was A Tsunami I Want To Know What Happens!- ]"
L-Q,"I've noticesd that stars are made out of fire and they need oxgen. but in space there is no oxgen so how do they burn
[ - is that the fire there burns on gas- ]"
L-Q,i wondering if the risen why there is so many todes outside is because of the tadpoles in the buket pluse how fides them and how they live
L-Q,"[ - why moss has different colors and what it means to have all these different colors- ]
[ - is maybe it means it is poisonousor it means that its a different type of moss - ]"
L-Q,[ - what is the yellow tanish stuff that kind of looks like roots or ginger. so I smelled    it and it smelled like fresh grass and kind of like garlic- ]
L-Q,"How does moss have an impact on wild life in our court yard.
[ - I think moss is soft so it can be used as a resting place or making a nest.- ]"
L-Q,"I am wondering how roots work. How does the water get in there? What else might the tree need?
[ - is that plants may also need sun. - ]
[ - what they need sun for and how they get it.- ]"
L-Q,"[ - Why the catipillar will go on the trees and leaves but instead it goes on walls of our courtyard and likes that type of ecosystem but I still don't understand why? Because if the other breed of catipillars do it the same kind as the one that was in our courtyard why do these only type of catipillar like this and not the trees and leaves?- ]
[ - why a regular catipillar was liking the ecosystem of the wall? Why didn't it like the regular ecosystem that catipillars live in?- ]"
L-Q,"[ - is it wont grow and it will just fall down- ]
[ - if there is still sun will it grow- ]"
L-Q,"(I'm talking about the stem, not the flower, like a rose.)
[ - is that it stings the predator trying to eat it. But I think it's impossible.- ]
[ - Why does it have THORNS? Do they Sting? Do they do nothng at all? Are they WORTHLESS?- ]"
L-Q,My first question was why are some plants bad to touch? But my question now is... If some plants are good to touch and eat then why are some plants poisionous.
L-Q,"[ - is that animanles clime under ground to the court yard and eat bugs and frogs other animales to how do all those other animanles
- ]"
L-Q,im wondering how frogs\todes live in this environment pluse how do thise tad poles live here and what wants them to live here. mabey they think this is a miny lake.
L-Q,"[ - if the grass hopper is living in the courtyard because there is some nutrients from the trees or if there are hidden food supplies there- ]
[ - if there is somthing that is in the court yard that makes the grasshopper want to live in te courtyard- ]"
L-Q,"[ - is that mabye 2 grass hoppers went arcross the top of the building and had a lot of kids (grass hoppers) and thats how- ]
[ - how the grass hoppers made it across- ]"
L-Q,"Why do birds have feathers, even if they cant fly?
[ - If pengiuns cant fly why do they need feathers? wouldn't they be better of if they had thick fur like mammal?.- ]"
L-Q,"[ - is that the ground hog that we saw might live here in guilderland because there are nutrients maybe here so that is why i am searching wy groundhogs live in guilderland- ]
[ - why ground hogs live in guilderland- ]"
L-Q,"[ - if the sun is so far away, how can we still feel the hotness of the sun?- ]"
L-Q,"why do things rot
things rot because when you peel a orange the air efects the orange"
L-Q,"[ - why snakes can slither wouldn't its tail be more efficent in the water I wounder if a snake addapted when it started living on land?
[ -is that how can snakes eat somthing bigger than them wouldn't it take weeks for something that size to be diegested so I'm woundering if snakes go into hiding and have a small hibernation.
[ -is that mabey after alarge meal its normal to sleep to help diegest foods and liquids."
L-Q,"[ - I know from studying air that warm air rises.
but
[ - why its cold in the mountain tops if heat rises?
[ - is that the warm air is even higher up than the peak of a mountain.
[ - the constaint warm air rissing.
or dose it cool off before reaching the hight of a mountain?Again
[ - the wourld wide problem of gloabelwarming. How dose the warm air rise high enough?"
L-Q,This theroy I cannot explain but why do diffrent spiders have diffrent behaviors? Is it just that they react to certian things in a certian way or what?
L-Q,"How Do Ant Build Ant Hills?
[ - is That They Use Their Back to Carry Dirt And Have Groups Called.. A Colony.- ]
[ - How Long Do Ant's Take to build ant hills?""- ]"
L-Q,"my wondering is ifbirds, bats, dragonflies, frogs, and spiderseat mosquitoes.will they get the disease? Ifthey get the dieaseses they would die and they will eventually will go inxtinctand there will no mosquito feeders then there will be alot of mosquitoes and they alot of people will get the diseases and alot mamals will die. :("
L-Q,im lerning aboute the pine barrens in guilderland. and how dose the prescribed burns help the pine barrens?
L-Q,If you put Carbon Dioxid in a cup with a plant you know it will go back to blue but if you dont Put a plant in will it still go back to Blue????
L-Q,"I need to understand, how would water get to those in need? My theory is that you could build underground tubes instead of over ground tubes, that way, you can deliver watr without it interfearing with roads, and buildings."
L-Q,"[- ifour water is coming from the ocean water that evaporates and later rains, does rain water have salt in it, too?"
L-Q,I am wondering if water forms in space. What if the Hyderojen and oxegen bind then came to earth some how. Can we make water on earth by binding the two elemnts.
L-Q,"[ - is that Soda is way unhealither than Water.- ]
Soda has Sugar and other unhealther products.
Water has... just water.
Is there any other differences?"
L-Q,"Water is unheathy,or does this mean that you get something un heathy with that?"
L-Q,[ - why we can't just boil the salt out of the water and filter it. Also if the water is moving from the ocean to rivers to lakes and streams where it gets cleaned and drinked then why can't we just take out the salt and clean the ocean water - ] of couse then we would have to see how to get it to people in need but still why can't we just do that stuff to the sea water and just deel with it if it is clean it makes no sense!
L-Q,what if we had fiters that can filter the salt out of salt water oh wait we do so why can´t we just take a lot of those filter and put thenm all around the world and then peopl can get fresh water all the time and the fresh water can go to alot of good cause and all those cause are food and health .
L-Q,"[ - is- ] that water is way heather than soda
[ - is- ] soda has a lot of calerles and water is way beter than soda and milk is better than"
L-Q,[ - I read a book and it said that if there were no moon there would be no waves is that true? And if it was true Why?- ]
L-Q,"My question is that, if it rains a lot in the rain forests, then why doesn't it rain in the dry area's? And also the world should try to focus mainly at trying to get food and water around the world, to those in need.
[ - Is that people are mainly focusing on how to advance technology, and how to make a new way to do something easier that is already easy. That's fine, but we need to put most of our time and focus into getting food and water to those in need.- ]
[ - is that maybe if kids and younger people have to fetch water, how about other people from around the world can make programs and help them and find more water. - ]"
L-Q ,why do we have a better water system than other counries? What makes it different for them? Is it because the other countries are hotter than ours? like Africa?
L-R,https://wonderopolis.org/wonders?q=trees
L-R,"https://docs.google.com/presentation/d/1dJw8nNhEDyrYR31IRKGoLm96RAIapvWFUB23r71KKgk/edit#slide=id.p (Link->https://docs.google.com/presentation/d/1dJw8nNhEDyrYR31IRKGoLm96RAIapvWFUB23r71KKgk/edit#slide=id.p)  Here's A Link To A Presentation On What Ants Eat And Drink."""
L-R,wacht thishttps://www.youtube.com/watch?v=J0DT_Te0xZ4
L-R,"https://www.worldbookonline.com/wbdiscover/media?id=lr000368 (Link->https://www.worldbookonline.com/wbdiscover/media?id=lr000368) Click on the link above"""
L-R,https://flipgrid.com/006ff9a8 (Link->https://flipgrid.com/006ff9a8)
L-R,heres a link to a really good video-https://www.teachertube.com/video/photosynthesis-62625?utm_source=google (Link->https://www.teachertube.com/video/photosynthesis-62625?utm_source=google)
L-R,"https://www.sites.ext.vt.edu/virtualforest/modules/photo.html (Link->https://www.sites.ext.vt.edu/virtualforest/modules/photo.html) do a 2 finger click or left click on a mouse and click open new link tap at the top."""
L-R,https://ed.ted.com/lessons/meet-the-tardigrade-the-toughest-animal-on-earth-thomas-boothby (Link->https://ed.ted.com/lessons/meet-the-tardigrade-the-toughest-animal-on-earth-thomas-boothby)
L-R,"heres a photo and video on photosynthesis do a 2 finger click on the link to open video.Image -> https://kf6.rit.albany.edu//attachments/5b87586745b8a02554df72de/5c09382bc0c1561fdba71bfe/1/Screenshot 2018-11-19 at 10.19.12 AM.png https://www.teachertube.com/video/photosynthesis-62625?utm_source=google (Link->https://www.teachertube.com/video/photosynthesis-62625?utm_source=google)"""
L-R,"https://www.sites.ext.vt.edu/virtualforest/modules/photo.html (Link->https://www.sites.ext.vt.edu/virtualforest/modules/photo.html) heres a new link same thing on how to open it do a 2 finger click and hit open ink to new tab."""
L-R,https://docs.google.com/document/d/1IcEydVHmqdr1HzyAroqUOjicQylk78r3AvJ_hyJ1itA/edit?usp=sharing (Link->https://docs.google.com/document/d/1IcEydVHmqdr1HzyAroqUOjicQylk78r3AvJ_hyJ1itA/edit?usp=sharing)
L-R,https://docs.google.com/presentation/d/1B4gT2nTsuFh58v3kh0hG0RUythibzNet7lygXl_s3UM/edit?usp=sharing (Link->https://docs.google.com/presentation/d/1B4gT2nTsuFh58v3kh0hG0RUythibzNet7lygXl_s3UM/edit?usp=sharing)
L-R,"Right-click and open this link in a new window https://human.biodigital.com/widget/?be=2mfZ&amp;camera=-17.572,174.492,19.97,0,168.374,6.854,0.215,0.963,-0.161&amp;initial=true&amp;load-rotate=15&amp;ui-info=true&amp;ui-fullscreen=false&amp;ui-zoom=true&amp;ui-share=false&amp;uaid=3QUzI (Link->https://human.biodigital.com/widget/?be=2mfZ&amp;camera=-17.572,174.492,19.97,0,168.374,6.854,0.215,0.963,-0.161&amp;initial=true&amp;load-rotate=15&amp;ui-info=true&amp;ui-fullscreen=false&amp;ui-zoom=true&amp;ui-share=false&amp;uaid=3QUzI)"""
L-R,[ -What evidence is shown that the veins are one of the most important body parts in the human body?https://www.brainpop.com/search/?keyword=veins (Link->https://www.brainpop.com/search/?keyword=veins)
L-R,"[ - how do the veins work with joints and your brain. And why do the veins work with yor brain?- ]https://www.youtube.com/watch?v=sI6yXy3u2sI (Link->https://www.youtube.com/watch?v=sI6yXy3u2sI) Image -> https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFEZbG1mGrApiCkoiF5aGP_NVoet9lqKUsg0-bYR6n1fj2ODAs"""
L-R,"Sophia you should try this brainpop on the dreams maybe it could help you find more evidence on you theory!!! Here is the websightfor the video,https://www.brainpop.com/science/ecologyandbehavior/dreams/ (Link->https://www.brainpop.com/science/ecologyandbehavior/dreams/)"
L-R,https://docs.google.com/presentation/d/1lQgzofZpyQxdbM9AhCppJ9Cy0xB9K8equ8ITZrKiKu8/edit#slide=id.g4d7f9be6b4_0_0 (Link->https://docs.google.com/presentation/d/1lQgzofZpyQxdbM9AhCppJ9Cy0xB9K8equ8ITZrKiKu8/edit#slide=id.g4d7f9be6b4_0_0)
L-R,"DO NOT EDIT. https://collections.follettsoftware.com/collection/5c51e65c9600a30011c1f251 (Link->https://collections.follettsoftware.com/collection/5c51e65c9600a30011c1f251) BrainPop for Diseases, Viruses, Injuries and Conditions: https://www.brainpop.com/health/diseasesinjuriesandconditions/"""
L-R,more info on how the body pumps blood:https://www.youtube.com/watch?v=ruM4Xxhx32U
L-R,"https://www.brainpop.com/science/ecologyandbehavior/sleep/ (Link->https://www.brainpop.com/science/ecologyandbehavior/sleep/) https://www.brainpop.com/science/ecologyandbehavior/dreams/ (Link->https://www.brainpop.com/science/ecologyandbehavior/dreams/) Hey guys! Check out these brain pops! They have a lot of good imformation and a good start!"""
L-R,https://www.brainpop.com/health/geneticsgrowthanddevelopment/genetics/ https://www.brainpop.com/health/geneticsgrowthanddevelopment/dna/ (Link->https://www.brainpop.com/health/geneticsgrowthanddevelopment/dna/) 
L-R,why do we need blood.https://kidshealth.org/en/teens/blood.html (Link->https://kidshealth.org/en/teens/blood.html)
L-R,"https://docs.google.com/presentation/d/1u4HZv9wY3Em-JjUOwKUDd8Pv5ZGxmI2W359JKnw_H1E/edit?usp=sharing (Link->https://docs.google.com/presentation/d/1u4HZv9wY3Em-JjUOwKUDd8Pv5ZGxmI2W359JKnw_H1E/edit?usp=sharing) if you have new information for us please build on."""
L-R,https://docs.google.com/presentation/d/1gvT9QFQM5pyYfFpxpYEjUsNFBMUUU8kdMH0jDTQlrpE/edit?usp=sharing (Link->https://docs.google.com/presentation/d/1gvT9QFQM5pyYfFpxpYEjUsNFBMUUU8kdMH0jDTQlrpE/edit?usp=sharing)
L-R,"https://www.sciencedaily.com/releases/2016/07/160718132646.htm (Link->https://www.sciencedaily.com/releases/2016/07/160718132646.htm) heres a great link."""
L-R,https://docs.google.com/document/d/1zQ21EIwxda5xhvUl93teqdr_89rBTJfod7s0EPFN4FQ/edit?usp=sharing (Link->https://docs.google.com/document/d/1zQ21EIwxda5xhvUl93teqdr_89rBTJfod7s0EPFN4FQ/edit?usp=sharing)
L-R,https://docs.google.com/presentation/d/1-URw5nMXY4NWaHRdiGN-qkFrCbngw7-OB22arHMs5s0/edit#slide=id.g4fa8553083_0_5 (Link->https://docs.google.com/presentation/d/1-URw5nMXY4NWaHRdiGN-qkFrCbngw7-OB22arHMs5s0/edit#slide=id.g4fa8553083_0_5)
L-R,https://www.brainpop.com/health/bodysystems/brain/
L-R,"here are a few videos and a book to watch! https://www.brainpop.com/health/bodysystems/muscles/ (Link->https://www.brainpop.com/health/bodysystems/muscles/) https://guilderland.follettdestiny.com/cataloging/servlet/presenttitledetailform.do?siteTypeID=-2&amp;siteID=&amp;includeLibrary=true&amp;includeMedia=false&amp;mediaSiteID=&amp;bibID=46834&amp;walkerID=1548 (Link->https://guilderland.follettdestiny.com/cataloging/servlet/presenttitledetailform.do?siteTypeID=-2&amp;siteID=&amp;includeLibrary=true&amp;includeMedia=false&amp;mediaSiteID=&amp;bibID=46834&amp;walkerID=1548859272053) https://www.youtube.com/watch?v=C6u0u_59UDc (Link->https://www.youtube.com/watch?v=C6u0u_59UDc) https://www.brainpop.com/health/bodysystems/skeleton/ (Link->https://www.brainpop.com/health/bodysystems/skeleton/)"""
L-R,https://docs.google.com/presentation/d/19ADSdAjwOCymphvqds1kovMimYxQTEcHdd0kz0HC7-I/edit?usp=sharing (Link->https://docs.google.com/presentation/d/19ADSdAjwOCymphvqds1kovMimYxQTEcHdd0kz0HC7-I/edit?usp=sharing)
L-R,https://docs.google.com/presentation/d/1-URw5nMXY4NWaHRdiGN-qkFrCbngw7-OB22arHMs5s0/edit?usp=sharing (Link->https://docs.google.com/presentation/d/1-URw5nMXY4NWaHRdiGN-qkFrCbngw7-OB22arHMs5s0/edit?usp=sharing)
L-R,https://docs.google.com/presentation/d/1L8Q1x4lH1kVstxRFQCSi7da3vbEaVnSSIrHrEkDmOp8/edit?usp=sharing (Link->https://docs.google.com/presentation/d/1L8Q1x4lH1kVstxRFQCSi7da3vbEaVnSSIrHrEkDmOp8/edit?usp=sharing)
L-R,https://docs.google.com/presentation/d/1-URw5nMXY4NWaHRdiGN-qkFrCbngw7-OB22arHMs5s0/edit?usp=sharing (Link->https://docs.google.com/presentation/d/1-URw5nMXY4NWaHRdiGN-qkFrCbngw7-OB22arHMs5s0/edit?usp=sharing)
L-R,https://docs.google.com/presentation/d/1-URw5nMXY4NWaHRdiGN-qkFrCbngw7-OB22arHMs5s0/edit?usp=sharing (Link->https://docs.google.com/presentation/d/1-URw5nMXY4NWaHRdiGN-qkFrCbngw7-OB22arHMs5s0/edit?usp=sharing)
L-R,"https://docs.google.com/presentation/d/1EIlU9Z7maP9aUtNLpkIk5bNtKlXcy6LeWI8qA1UDcZI/edit#slide=id.p (Link->https://docs.google.com/presentation/d/1EIlU9Z7maP9aUtNLpkIk5bNtKlXcy6LeWI8qA1UDcZI/edit#slide=id.p) you can edit it."""
L-R,Click on this link to go to a brain pop video about the brain:https://www.brainpop.com/health/bodysystems/brain/
L-R,Click on this link to go to a slide show about the brain:https://docs.google.com/presentation/d/1-URw5nMXY4NWaHRdiGN-qkFrCbngw7-OB22arHMs5s0/edit#slide=id.g4fa8553083_0_10
L-R,https://docs.google.com/presentation/d/1W3LJqX9Uqvbxs3kysdwxGMxs8zLKv9ChoqdgjnOMGE4/edit?usp=sharing (Link->https://docs.google.com/presentation/d/1W3LJqX9Uqvbxs3kysdwxGMxs8zLKv9ChoqdgjnOMGE4/edit?usp=sharing)
L-R,https://docs.google.com/document/d/12O5w2Toa4HML57dDNoB48InJcFJRj0lsiUv_clHrR9c/edit?usp=sharing (Link->https://docs.google.com/document/d/12O5w2Toa4HML57dDNoB48InJcFJRj0lsiUv_clHrR9c/edit?usp=sharing)
L-R,"https://docs.google.com/drawings/d/1xFj_XJzkV9RUwpnp-350yD41vh7yQWWk1AeF77-uEeg/ (Link->https://docs.google.com/drawings/d/1xFj_XJzkV9RUwpnp-350yD41vh7yQWWk1AeF77-uEeg/) this is a water molecule drawing by ME!!!!!!!!!! Please do not edit it"""
L-R,https://www.google.com/search?q=where+does+water+come+from&amp;rlz=1CAKABJ_enUS835&amp;source=lnms&amp;tbm=isch&amp;sa=X&amp;ved=0ahUKEwikjY2_35jiAhWFMd8KHdqeDh4Q_AUIDygC&amp;biw=1517&amp;bih=694&amp;safe=active&amp;ssui=on#imgrc=JTVT_QzcenYBYM: (Link->https://www.google.com/search?q=where+does+water+come+from&amp;rlz=1CAKABJ_enUS835&amp;source=lnms&amp;tbm=isch&amp;sa=X&amp;ved=0ahUKEwikjY2_35jiAhWFMd8KHdqeDh4Q_AUIDygC&amp;biw=1517&amp;bih=694&amp;safe=active&amp;ssui=on#imgrc=JTVT_QzcenYBYM:)
L-R,https://www.google.com/search?q=could+humans+create+water&amp;rlz=1CAKABJ_enUS835&amp;oq=could+&amp;aqs=chrome.0.69i59j69i57j0l4.7415j1j7&amp;sourceid=chrome&amp;ie=UTF-8&amp;safe=active&amp;ssui=on (Link->https://www.google.com/search?q=could+humans+create+water&amp;rlz=1CAKABJ_enUS835&amp;oq=could+&amp;aqs=chrome.0.69i59j69i57j0l4.7415j1j7&amp;sourceid=chrome&amp;ie=UTF-8&amp;safe=active&amp;ssui=on)
L-R,https://docs.google.com/document/d/10TP0lqNmjOp5hSsYFBLVOd6__KHh7K4BPCPB5EGJd8A/edit (Link->https://docs.google.com/document/d/10TP0lqNmjOp5hSsYFBLVOd6__KHh7K4BPCPB5EGJd8A/edit)
L-R,"https://www.townofbethlehem.org/DocumentCenter/View/4299/Bethlehem-Water-Supplies-Treatment-2-12-14?bidId (Link->https://www.townofbethlehem.org/DocumentCenter/View/4299/Bethlehem-Water-Supplies-Treatment-2-12-14?bidId) watch this link for this queston: why do people have to spend money for water?"""
