all_type,text
L-R,"[ -Global warming, also referred to as climate change, is the observed century-scale rise in the average temperature of the Earth's climate system and its related effects. Multiple lines of scientific evidence show that the climate system is warming.- ] [ -https://en.wikipedia.org/wiki/Global_warming (Link->https://en.wikipedia.org/wiki/Global_warming)- ]"""
L-R,"[ - I read on World Almanac that briophytes are actually a type of moss. However, I read on wikipedia that briophytes are a plant. Is it both?- ] [ - which is true or are both true? Why? What makes something a plant or a moss?- ] Briophytes don't grow seeds. http://wak.infobaselearning.com/plants/seedless-plants/diversity-of-mosses.aspx?qHL=bryophytes"""
L-R,"also bryophyte is a small green plant/moss and it does not grow flowers either seedshttps://www.google.com/search?ei=vzCyW5iKKKSw_QbTkabICQ&amp;q=bryophytes+evo"""
L-R,"i found out that there are over 1 thousand speices of moss. here is a link for a moss website!!!!!!!!!! https://wonderopolis.org/wonder/all-about-moss (Link->https://wonderopolis.org/wonder/all-about-moss)"""
L-R,"I know that genetics makes you look like who you are. But why does it matter? My theory is that without DNA you wouldn't look like anyone cause you share a little bit of DNA with your parents. Link! paste it https://www.brainpop.com/health/geneticsgrowthanddevelopment/dna/ (Link->https://www.brainpop.com/health/geneticsgrowthanddevelopment/dna/)"""
L-R,"Did you know that Wolfgang Amadeus Mozart Had tourettes what about Samuel click here Johnson http://www.hoagiesgifted.org/eric/fact/famous.htmlhttp://www.hoagiesgifted.org/eric/fact/famous.htmlhttp://www.hoagiesgifted.org/eric/fact/famous.htmlhttp://www.hoagiesgifted.org/eric/fact/famous.htmlhttp://www.hoagiesgifted.org/eric/fact/famous.htmlhttp://www.hoagiesgifted.org/eric/fact/famous.html (Link->http://www.hoagiesgifted.org/eric/fact/famous.htmlhttp://www.hoagiesgifted.org/eric/fact/famous.htmlhttp://www.hoagiesgifted.org/eric/fact/famous.htmlhttp://www.hoagiesgifted.org/eric/fact/famous.htmlhttp://www.hoagiesgifted.org/eric/fact/famous.htmlhttp://www.hoagiesgifted.org/eric/fact/famous.html)"""
L-R,"[ -- ] that I have learned is that your heart gets smaller because your heart pumps blood,and in space you don´t need that much blood to be pumped since you are just floating. On Earth you need the blood to be pumped to be able to move.I got this information fromhttps://ed.ted.com/featured/QS6sEKzz"
L-R,"Eyes The human eyeball about 1 inch ( 2.5 centimeters) The eye can see in bright light and in dim light. But it cannot see when there is no light at all. The eye changes these rays into electrical and chemical signals. The signals are then sent to the brain. Six muscles move the eye in different directions. i find this information in https://www.worldbookonline.com/wbdiscover/article?id=ar830862&amp;st=eyes"""
L-R,"The circulatory system of the lungfish is similer to most fish and maybe humans. It's heart does the same thing that the humans do but it goes to the gills of the fish. Plus each and every lungfish has different blood volume and preasure. (Of the small number of species of fish used in studies of the circulation, only a few have been investigated extensively. These include hagfish, dogfish, skate, ratfish, Port Jackson shark, trout, salmon, carp, tench, cod, lingcod, eel, and lungfish. The data have been collected using a variety of techniques under a variety of conditions. In some instances, the fish were not intact and were either out of water, restrained, or anesthetized; in other experiments the recordings were obtained from intact, unanesthetized, and relatively unrestrained fish. The circulatory system is of necessity, very responsive to changes in the environment,) the credits are from https://www.sciencedirect.com/science/article/pii/S1546509808601296 (Link->https://www.sciencedirect.com/science/article/pii/S1546509808601296) And I also used google scholar to find this info..."""
L-R,"https://www.brainpop.com/health/bodysystems/muscles/ (Link->https://www.brainpop.com/health/bodysystems/muscles/) this is a brainpop on muscles and it says the the heart is a involuntary muscles so we an't flex it but voluntary muscles are the one yu can flex"""
L-R,"Evolution is the change that eventually happens over millions of years to better adapt to a habitat or environment change. For example, in the beginning of the world, all the life was simply a few cells floation in the ocean. Then they eventually adapted to ocean life by taking on the form of a axolotl-like fish/lizard. Then they grew legs and lungs and came to land as an early form of lizards. These adapted into dinosaurs. Dinosaurs went extinct, but many species of moles and mice. These adapted into other animals, and those animals adapted, and that is how evolution basically works. Here is a link to my slideshow! I hope you enjoy it and learn from it. It is for the Symposium, so please do not write anything in it or delete anything. Thank you!https://docs.google.com/presentation/d/1JrYC1Bpb6lb-g9AJ1o22qPt2gzPHJ0h0h9U5ZzL8eMU/edit#slide=id.g5537d7c92f_0_5 (Link->https://docs.google.com/presentation/d/1JrYC1Bpb6lb-g9AJ1o22qPt2gzPHJ0h0h9U5ZzL8eMU/edit#slide=id.g5537d7c92f_0_5)"" "
L-R,"This includes the forms of: AIDS, Alzhiemer's Disease, Avian Flu, Cancer, Chickenpox, Depression, Ebola, Flu, Flu Vaccine, and more! BrainPop helped made this possible. Here is the link: https://collections.follettsoftware.com/collection/5c51e65c9600a30011c1f251 (Link->https://collections.follettsoftware.com/collection/5c51e65c9600a30011c1f251) To BrainPop: https://www.brainpop.com/health/diseasesinjuriesandconditions/ (Link->https://www.brainpop.com/health/diseasesinjuriesandconditions/)"""
L-R,"I know that the earth will always have about the same amount of water, But we can make water dirty so we can't use it again until we purify it. In Africa one of the main water sources is lake chad, but it has been shrinking. here is a link to a picture of lake chads water supply. https://docs.google.com/document/d/1_kg6WlPN_ueP2yRuoBxnZLFXPB07KR4BgQ4Fs8icgcU/edit (Link->https://docs.google.com/document/d/1_kg6WlPN_ueP2yRuoBxnZLFXPB07KR4BgQ4Fs8icgcU/edit)"""
L-R,"1. Water Watch: Image -> https://kf6.rit.albany.edu//attachments/5b87586745b8a02554df72de/5ce05049747d9e5f35df59c1/1/Untitled copy.jpeg Livemapping and animation of streamflow in the US. &gt;https://waterwatch.usgs.gov/index.php?m=wwmaps (Link->https://waterwatch.usgs.gov/index.php?m=wwmaps) Select the beginning date, ending date, and interval days, click Go. 2.How to make water from hydrogen and oxygen – Why can’t we just make water? https://www.thoughtco.com/making-water-from-hydrogen-and-oxygen-4021101 (Link->https://www.thoughtco.com/making-water-from-hydrogen-and-oxygen-4021101) 3.Desalination https://www.usgs.gov/special-topic/water-science-school/science/desalination?qt-science_center_objects=0#qt-science_center_objects (Link->https://www.usgs.gov/special-topic/water-science-school/science/desalination?qt-science_center_objects=0#qt-science_center_objects) 4.How glaciers change the world! https://www.youtube.com/watch?v=W1InAfn7am0 (Link->https://www.youtube.com/watch?v=W1InAfn7am0) Lots of rivers flow out of glaciers. Lots of people, plants, and animals need water from those rivers. And some scientists and engineers have worked together to use the energy from melting glaciers to generate electricity. But, we don’t want them to melt too much. As more glacier water melts and flows to the ocean, the sea level gets higher, which can create a lot of problems. 5.Why can’t we drink the ocean? https://www.youtube.com/watch?v=uPyr0JrTmpo (Link->https://www.youtube.com/watch?v=uPyr0JrTmpo) The main thing your kidneys do is to make urine, otherwise known as pee. If you have too much salt in your body, your kidneys move some of it into your urine, and then you just pee it out. – “pee” was already mentioned by Sophia in her ITM note although she hasn’t talked about “kidney” yet. 6.Where does water come from? https://www.youtube.com/watch?v=R0K7VKkksyc (Link->https://www.youtube.com/watch?v=R0K7VKkksyc) 7. How does water get to your house? https://www.youtube.com/watch?v=cGi4PugN4qY (Link->https://www.youtube.com/watch?v=cGi4PugN4qY) 8. Mapping OverallWater Risk in the World These maps show where water-related risks are most severe. https://www.wri.org/applications/maps/aqueduct-atlas/#x=-76.29&amp;y=35.83&amp;s=ws!20!28!c&amp;t=waterrisk&amp;w=def&amp;g=0&amp;i=BWS-16!WSV-4!SV-2!HFO-4!DRO-4!STOR-8!GW-8!WRI-4!ECOS-2!MC-4!WCG-8!ECOV-2!&amp;tr=ind-1!prj-1&amp;l=5&amp;b=terrain&amp;m=group (Link->https://www.wri.org/applications/maps/aqueduct-atlas/#x=-76.29&amp;y=35.83&amp;s=ws!20!28!c&amp;t=waterrisk&amp;w=def&amp;g=0&amp;i=BWS-16!WSV-4!SV-2!HFO-4!DRO-4!STOR-8!GW-8!WRI-4!ECOS-2!MC-4!WCG-8!ECOV-2!&amp;tr=ind-1!prj-1&amp;l=5&amp;b=terrain&amp;m=group) 9. Water-quality changes in the Nation's streams and rivers. https://nawqatrends.wim.usgs.gov/swtrends/ (Link->https://nawqatrends.wim.usgs.gov/swtrends/)"""
L-R,"[ -- ] if you left something in soda for two weeks and if you left that same thing in water for two weeks what would be the difference. [ -- ]is that the one left in soda would be damaged while the one in the water would be perfectly fine. https://glensummitspringwater.com/the-great-spring-water-vs-soda-debate-from-glen-summit-spring/ (Link->https://glensummitspringwater.com/the-great-spring-water-vs-soda-debate-from-glen-summit-spring/) This link is a article about results of drinking water vs. the results of drinking soda."""
L-I,How a shadow is made a light nose on a big object 
L-I,Rainbows are when light goes through rain droplets that act like prisms 
L-I,The order of colors in the rainbow goes Red Orange yellow Green Blue Indigo Violet its in that order because of the light waves red is the longest light wave and violet is the shortest light wave 
L-I,This is how we see different colored objects when you see a yellow flower it is because all the primary colors of light hit it red and green light bounce off of the flower into your eye 
L-I,its the same with magenta except blue  red nonces off 
L-I,its also the same with cyan except blue  green light bounces off 
L-I,Shadows are made when light hits an opaque object and so then it makes shadow The shadow is allays attacher to a opaque object 
L-I,It depends on the time of day for the size of the shadow 
L-I,a convex lens also helps focus the light  
L-I,It dost focus the light  
L-I,If you shine a light through a stem of water you will see a rainbow in the water 
L-I,Wen you see a red rose the blue and green are being absorbed and the red will be reflected and you see a red rose 
L-I,Wen you look at a yellow rose the to colors that are reflected are red and green they make yellow The blue is absorbed and you cant see it 
L-I,Other Lights our when the sun boards the earth with tiny particles of belletristic they hit the earths attester the air and electricity makes it glow 
L-I,A liner elicits is when the sun is behind the earth and the moons in front of the earth 
L-I,Light travels in inviable waves so it acts like a straight line but is actually waves 
L-I,Light wave length is shorter then ultra violet waves which are inviable to our eyes so some people still think that light travels in a straight line It was proved by many people a long time ago 
L-I,A shadow is made by an opaque object nontransparent object and when you shine the light through the opaque object you can see a black spot that black spot is a shadow 
L-I,Solar panels are usably used in places where they want to absorb light what a solar panel is basically is a thing that absorbs light stead of reflecting light so it can give off light later on 
L-I,You have three eye cones in your eyes to SEe different couplers like I said before the easy way to SE many couplers is you need blue red and green so they are blue red and green 
L-I,glowing things is that it needs to absorb light to work 
L-I,A shadow is a reflection of light hitting an object To see a shadow you need a source of light like the sun or a flash light 
L-I,A solar eclipse is when the sun over laps the moon band then the sun and the moon go red 
L-I,This is how a shadow is made  a shadow is made when light hits an object 
L-I,This is why how you make a rainbow with a prism you get a prism and shine a light though the prism and then you will see a prism rainbow
L-I,how we make a rainbow with rain  After it rains you see a rainbow its made by the sun light shining though the water and it makes a rainbow 
L-I,Solar panel absorb light and change it to solar energy 
L-I,My theory about how light travels is that light travels in ripple waves 
L-I,My theory about all we see is light is that every thing we see is light 
L-I,the way a shadow is made is that you are covering part of where the light hits 
L-I,My understanding of rainbows is that the reason that there always in the same order is that Red has the longest light wave and violet the shortest 
L-I,Anything that isn't the same color gets absorbed the same color is always reflected 
L-I,Rainbows are sometimes made when leftover raindrops The raindrops acts as prisms 
L-I,other things make things glow in the dark like electricity heat and friction 
L-I,If you looked into a concave mirror you would see behind you and a lot of light because the light goes in then bounces until it shoots out the way it came 
L-I,I learned that a solar eclipse occurs when the moon blocks the sun which casts a huge shadow over the earth 
L-I,A shadow is made by light hitting you and the light is big so it gets around the person and makes a shadow 
L-I,I also learned that there are things called atoms and electrons that can pass through wires and make electricity 
L-I,The northern lights happen when the sun makes tiny bits of electricity go down to earth 
L-I,If you look at a yellow flower the color that would absorb is blue and the colors that would bounce into your eyes are red and green 
L-I,If you look at a red rose blue and green are absorbed into your eyes and red is reflected 
L-I,When you see a rainbow  you only see half of it A rainbow is actual a circle but the clouds are blocking the half of the rainbow that you don't see 
L-I,If you look at a red rose in green light the rose doesn't absorb the green light so the rose appears black 
L-I,Fluorescence objects are glow in the dark objects A sea animal that lives under the water is glow in the dark and glow in the dark star stickers and bandages Fluorescence objects are made be friction like two rocks rubbing together 
L-I,A lunar eclipse is when the moon covers the sun Long time ago a man predicted that there would be a lunar eclipse and he was right 
L-I,A Solar eclipse is when the sun covers the moon 
L-I,My understanding about Shadows is that when light hits you it creates a shadow My theory is that the light hits you and goes around you to make a shadow Heres a picture to make it more simple 
L-I,Also they react like chemiluminescence witch is a process of changing chemic energy into light energy 
L-I,Solar panels absorb sun light rays and turn them into energy 
L-I,To reflect colors the object has to be the same color to reflect the light colorTo absorb light color the object has to be not the same color to be absorb 
L-I,I think that light travels in straight lines and some other people think that light travels in waves I also think that light is a wave but it travels in straight lines I think light travels in straight lines in two ways 
L-I,A rainbows are made by raindrops that act like a prism that make the rainbow 
L-I,If you look at a green apple for a long time the green cone gets tired but the red and blue are not tired and together red and blue make purple and purple is the opposite color of green 
L-I,Most things that glow have some fluorescent paint on them This paint absorbs light and then glows until it has no more light absorbed in it 
L-I,A shadow is made when darkness made when light shines on a opaque object  
L-I,A liner eclipse is when the earth is between the sun and the moon 
L-I,A solar eclipse is when the moon is between the sun and the earth 
L-I,A shadow is made when a light source hits an object 
L-I,A lunar eclipse is when the sun foe between the moon and casts a shadow 
L-I,A solar eclipse is when the sun goes in front of the moon 
L-I,I need to understand why you can get two different kinds of shadows one that is larger than you and one that is smaller than you my theory of what happens is that it appends on the time of day 
L-I,What helps things that glow are fluorescence pink and other colors 
L-I,If your body wants to see a red rose the red is bounced into your eyes and the other colors are absorbs 
L-I,If your body wants to see a yellow green and red is bounced into you eyes and the blue is absorbed 
L-I,Solar panels takes in light and makes it in to energy 
L-I,My understanding shadows starts at the shadow view if a light sours hits a optic nontransparent object which creates a shadow Such as a person is standing behind a light sours and a shadow papers behind them 
L-I,Rain can can be used as prisms thats why theres a rainbow after it rains 
L-I,A solar panel absorbs light and uses it as energy 
L-I,Fireflies produce light from their abdominals because of a chemical reaction caused by Lucifer and Lucifer This is called photoluminescence 
L-I,This is how a glow stick works When you snap a glow stick it makes a little hole and to chemicals collide and then they glow This is called chemiluminescence 
L-I,A shadow is made by standing in front of a light source and then the place you block up is where the shadow is made 
L-I,A solar eclipse is when the moon passes in between the sun and the earth causing a big shadow 
L-I,I thought glow in the dark could only happen with one thine but then I read Yasmin note and saw that it happens with three things heat friction and electricity 
L-I,In the shadows view I learned The closer the sun is to you the stronger it is 
L-I,Also I learned That your body blocked the sun and that creates a shadow The sun goes through the ground and makes a shadow for a root 
L-I,a rainbow in rain is made because its so damp outside 
L-I,We see a red rose because The primary colors go to the rose and green and blue get absorbed and red bounces off 
L-I,we see a yellow rose because all the secondary colors go at the rose the magenta and cyan gets absorbed but yellow bounces off 
L-I,A shadow is the darkness left behind when a light sours shines on a nontransparent object 
L-I,A solar eclipse is when the moon blocks the sun light from coming to the earth 
L-I,A lunar clips is when the sun blocks the moons light from going to earth 
L-I,You can make a rainbow with a prism by outing light thought a prism of rain Rain is what make the rainbow in the sky 
L-I,Solar panels are panels that use light to make electricity 
L-I,All we see is light Without light we can not see 
L-I,We can see a yellow rose because red blue and green are going to the flower Red and green bounce into your eyes but blue absorbs 
L-I,You can see a red rose because red bounces of and goes into your eyes blue and green get absorbed 
L-I,When you see a red flower the red light bounces off the flower in to our eyes and the green blue gets absorbed 
L-I,When you shine a light through a glass prism it ell make a rainbow on the surface it needs to be white light of the colors light wail be to strong and wont split up into the rainbow
L-I,This is how absorbing and reflecting works the colors that make the object will be reflected and the leftover color will be wasted not used 
L-I,A shadow is mad by an object in front of a light stream The light cant go around and then no light git be hind the objects and its dark 
L-I,A solar eclipse is an eclipse of the sun It occurs when the moon is located between the sun and the earth The moon blocks the sunlight coming to the earth 
L-I,My theory is that light travels in waves I leaned this by doing an ensnarement the end resale was a wave pattern Like doping to pebbles in a pond and the reason is like light 
L-I,Most glowing things are painted with a layer of fluorescent paint this paint absorbs light and when it is dark the absorbed light would unleash the light that it saved until its empty and has no more light 
L-I,but that doesn't explain why sometimes there are rainbows after rain storms or when it rains the answer to this is raindrops act as prisms but when I did a experiment at my house i filled a glass of water and turned out the lights I didn't see even a tiny outline of a rainbow 
L-I,There are two types of eclipses The rift one is called a solar eclipse Its when the moon goes in front of the earth and behind the sun which casts a shadow upon earth As I said before an opaque object like the moon and the sun is the light source it makes a shadow 
L-I,a lunar eclipse is the opiate of a solar eclipse a lunar eclipse is when the earth goes in front of the moon the earth is also opaque but the shadow this time is bigger 
L-I,If light hits a red rose red gets reflected and blue and green get absorbed thats why we see red 
L-I,but with a yellow rose green and red get reflected and blue gets absorbed because red and green make yellow 
L-I,A lunar eclipse is when the moon over laps the sun and blackens out the sky so no one ca see the sun and the sun and the moon turn black 
L-I,What is absorbing My understanding is that when white light hits a red object all the colors that make white  Red Green and Blue blue and green are reflected and red is absorbed 
L-I,What is Reflecting My understanding is like before we have a red dress when white light hits the red dress blue and green are reflected and red is absorbed Why I think there reflected is because its not the same color 
L-I,this is how we can see a red rose white light hits the rose red is reflected and blue and green are absorbed and the rose papers upside down and back wards but your brain turns it to the right way 
L-I,this is how we see a yellow rose the white light hits the rose green and red are reflected and blue is absorbed why green and red are reflected incited of just one color is because yellow is a secondary color and are brain sees the rose upside down and backwards 
L-I,New information A lunar eclipse is when the earth is between the sun and the moon Since the earth is in front of the moon it castes a shadow over the moon making it in total darkness 
L-I,A solar eclipse is when the moon casts a show over the earth and its just like a lunar eclipse precept what I just told you 
L-I,The way we see a red rose is that white light contains the primary coleus of light red blue and green What happens is that the red light hitting a red rose the red light bounces off and into our eyes and the other colors get absorbed 
L-I,With a yellow ors its pretty much the same thing but 2 colors don't get absorbed they mix and bounce off as one ray 
L-I,The northern lights are cosed by partials from the sun The particles are so small you couldn't see them How they acute is when the particles hit highest thing of the earths atmosphere they electrify the air making it glow 
L-I,Diffused reflection is when a ray of light comes and hits something like bumpy tinfoil The light comes and egos everywhere because it has more than one thing to bounce off of it It egos up down right left because when its bumpy it goes like that because of different bumps 
L-I,Convex mirrors are used in stores They let you see around corners and stuff ltd shaped like a ball with the top cut off the way it lets you see around corners is it does everything but catch light so it bounces off as an angle 
L-I,All we see is light the way I can prove it is that the same color light bounces off things that are supposed to be that color Then the color bounces into your eye Three primary colors are in white light so if you mix those you'll get any color 
L-I,I just learned that a lunar eclipse occurs when the earth is between the sun and the moon The earth is in front of the moon and behind the sun which makes a huge shadow over the moon 
L-I,This is how rainbows are made with rain The sky is still moist and there are drops in the air which can be used like prisms so if the left over raindrops can be used like prisms then the light can shine through it to make a rainbow 
L-I,Here is how solar panels work Dull dark surfaces do not reflect much light The dark surfaces absorb the suns rays and turn the rays into thermal energy The thermal energy is turned into heated water and then it is pumped into a storage tank and goes out through a fan That means that black attracts heat 
L-I,I think light travels in a straight line because the shadows prove that they travel straight or else the shadows would be wobbly 
L-I,this is my picture of a light bulb a light bulb is made out of glass and artificial light The glass is to couscous the light to the spot you would like it and the artificial light is from the energy in the air that comes from your wall When you plug in a light a computer or anything that has a plug the energy goad through whores that travel over our hes and under us These 2 things are all plugd into a wall 
L-I,The picture I drew was making a rainbow out of a prism This picture is with two prisms this is how it works If you shine a light on a prism a rainbow will appear but if you put another prism in front of the other prism the light will turn white again This is How to make white light through a viable spectrum 
L-I,If you look at a red rose in magenta light the magenta light red and blue hits the red surface The color red is reflected But the color blue is absorbed then the rose appears red 
L-I,A solar eclipse is an eclipse of the sun It occurs when the moon is located between the sun and the earth The moon blocks the sunlight coming to the earth 
L-I,My understanding about a Lunar eclipse is that when the Earth is between the Sun and the Moon The Sun casts a shadow over the moon called a lunar eclipse 
L-I,My theory's that light travels in a wave line because if you drive behind a bus you'll see heat that looks wave 
L-I,Shadows A shadow is an inexact reflection of your body that shows on a very sunny day when you are outside You see your shadow when you happen to be outside and you look down at the ground Also your shadow touches you wherever you touch the ground 
L-I,Also you can see a green object because white light shines on that object white light has red orange yellow green blue indigo and violet in it and the object absorbs all the colors except green which is reflected into the eyes of the person that is looking at the object 
L-I,We see a red rose when there is a flashlight or another light source that will shine on the rose and absorb the green and blue light and reflect the red light into our eyes 
L-I,and how we see a yellow rose is that it is the same but the red and green light are reflected and blue is absorbed 
L-I,How do you make a rainbow with rain The sky is still wet with raindrops and the sunlight shines through the drops and a rainbow forms in the sky Make a rainbow with a prism exactly the same way 
L-I,The northern lights are also called the aurora Borealis and they are lights in the sky that are mixtures of colors that are seen only in the northern parts of the world and that is why they are called the northern lights 
L-I,The law of reflection on a flat mirror is when the incident ray goes on the mirror and makes the angle of incidence There is an invisible line between the angle and ray of incidence and the angle and ray of reflection The reflection ray is the reflection of the incident ray 
L-I,The Northern Lights are ribbons of red pink and ghostly green lights that dance and shimmer for hours across the sky They occur when the sun bombards earth with tiny particles of electricity too small for us to see When these particles hit the highest part of the earths atmosphere they electrify the air and make it glow 
L-I,Why are Northern Lights different colors Each gas in earths atmosphere glows with its own color when it becomes charged with electricity Oxygen gives off an eerie green glow nitrogen glows red and neon gas turns pink 
L-I,My theory's that light travels in waves because when we did an experiment with progesterone and a tennis ball hanging from the vealing on a piece of string And when we shone light on it the tennis balls shader was clear But the strings shadow had some light on it 
L-I,Dull dark surfaces do not reflect much light so they are perfect for solar panels instead they absorb the suns rays and turn them into thermal energy this means that on a roof there are dark hoses of water  The water heats up because the hoses are absorbing the suns rays and they are isolated The heated water is pumped into a storage tank where it used to heat the house  
L-I,I also learned that a solar eclipse happens when the moon blocks the sun which makes a large shadow over the earth That is why when your outside and the sun dispersals its just a large shadow 
L-I,I also learned that a lunar eclipse is caused when the earth is between the sun and the moon 
L-I,Also if your looking at a yellow flower the blue light would be absorbed allowing the two other colors to both making yellow would bounce of into your two sensitive cone to those colors 
L-I,The Northern lights are caused by the sun bombarding the earth with tiny partials of electricity When these partials hit the highest part of the hates atmosphere it electrolysis the air and makes it glow 
L-I,To make a rainbow with rain it in voles moisture in the air and since there is moisture in the air the moistness acts like a prism 
L-I,When looking at a red rose you need light right You do so when your looking at that objetc the light shines on it and since it is red it refletcs the red light off the objetc and all the other colors get absorbed Its the same with any other color including yellow green etc 
L-I,A lunar eclipse is when the earth is right in between the sun and the moon winch casts a shadow over the moon making the moon total darkness 
L-I,Solar panels are used for sucking up sunlight and using the sunlight for something such as a solar powered windmill That works by the sunlight getting sucked into a solar panel and the light moves the windmill 
L-I,A red rose looks red because the red light in the white light reflects of the rose and in to your eyes the blue and green light gets absorbed 
