Scientificness,Complexity_level,Complexity_type,Subject,text
E-S,L-EE,explanation,eclipse,I just learned that a lunar eclipse occurs when the earth is between the sun and the moon The earth is in front of the moon and behind the sun which makes a huge shadow over the moon 
E-BS,L-F,fact,shadow,An umbra is a small light source that makes a dark shadow 
E-BS,L-F,fact,shadow,A penumbra is a lighter shadow 
E-H,L-E,explanation,shadow,A shadow is made by light hitting you and the light is big so it gets around the person and makes a shadow 
E-H,L-F,fact,shadowsize,Also the farther you walk away the longer your shadow will get 
E-BS,L-F,fact,lens,When light hits a double concave lens unlike the double convex the light will go further apart 
E-BS,L-EF,fact,lens,When light hits a double convex lens it travels together and hits and the light is concentrated at the focal point 
E-H,L-F,fact,lens,I learned that a magnifying glass can focus the light more than it can when the light is just by itself 
E-BS,L-E,explanation,electric,I also learned that there are things called atoms and electrons that can pass through wires and make electricity 
E-S,L-F,fact,bio,Another thing I learned was that 70 of the worlds sea fish use photoluminescence to make themselves glow 
E-BS,L-F,fact,bio,Photoluminescence is when a animal gives of its own light 
E-BS,L-F,fact,glow,Fluorescence is when something gives of light while receiving it from somewhere else 
E-BS,L-EF,fact,laser,Lasers are very bright and they can burn through anything in the world It can burn through steel and chrome and cloth and iron and metal and everything 
E-S,L-F,fact,pri&sec,The primary colors of light are  red blue and green 
E-S,L-F,fact,pri&sec,And blue green and red make the color white 
E-S,L-F,fact,pri&sec,The secondary colors of light are yellow magenta and cyan 
E-BS,L-E,explanation,northern,The northern lights happen when the sun makes tiny bits of electricity go down to earth 
E-S,L-F,fact,rainbow,Red has the longest light wave and violet has the shortest light wave 
E-S,L-F,fact,rainbow,The colors of the rainbow are red antidisestablishmentarianism and violet 
E-BS,L-F,fact,postimage,There are three kinds cones in your eyes red blue and green 
E-BS,L-E,explanation,objects,If you look at a yellow flower the color that would absorb is blue and the colors that would bounce into your eyes are red and green 
E-BS,L-E,explanation,objects,If you look at a red rose blue and green are absorbed into your eyes and red is reflected 
E-H,L-F,fact,rainbow,A spectrum is another name for a rainbow 
E-BS,L-EF,fact,prism&rainbow,When white light goes through a prism it will make a rainbow All the colors that come out of the prism will be rainbow colors
E-BS,L-F,fact,northern,The northern lights are originally located in the north pole And some Eskimo called Inuits thought the northern lights were evil 
E-BS,L-F,fact,materials,A transparent object is something see through like a ghost or glass 
E-BS,L-F,fact,materials,Translucent means that only a little light can get through for example frosty glass and tracing paper 
E-BS,L-F,fact,materials,Opaque means that no light can get through for instance a cow is opaque and a chair is opaque 
E-BS,L-F,fact,reflection,A concave mirror is pushed in 
E-BS,L-F,fact,reflection,and a convex mirror is pushed out 
E-BS,L-F,fact,lens,Some television screens in the 50s were convex screens 
E-S,L-F,fact,reflection,If light comes in on a 45 degree angle on a flat mirror it will come out on a 45 degree angle 
E-BS,L-F,fact,diffused,On the other hand if light goes in on a 45 degree angle on a bumpy mirror it will come out all crazy 
E-S,L-EE,explanation,rainbow,This is how rainbows are made with rain The sky is still moist and there are drops in the air which can be used like prisms so if the left over raindrops can be used like prisms then the light can shine through it to make a rainbow 
E-S,L-EE,explanation,sunpanel,Here is how solar panels work Dull dark surfaces do not reflect much light The dark surfaces absorb the suns rays and turn the rays into thermal energy The thermal energy is turned into heated water and then it is pumped into a storage tank and goes out through a fan That means that black attracts heat 
E-BS,L-EF,fact,glow,Chemiluminescence turns chemical energy into light I used to have glowing stars and a moon on the top of my closet so that is an example of chemiluminescence 
E-BS,L-EE,explanation,travel,I think light travels in a straight line because the shadows prove that they travel straight or else the shadows would be wobbly 
E-BS,L-F,fact,rainbow,The colors of light is the rainbow 
E-PS,L-E,explanation,rainbow,When you see a rainbow  you only see half of it A rainbow is actual a circle but the clouds are blocking the half of the rainbow that you don't see 
E-BS,L-EF,fact,rainbow,Making a rainbow with rain is when its raining lightly and the sun is out An example is when you turn on a sprinkler and the sun is shining 
E-H,L-EE,explanation,electric,this is my picture of a light bulb a light bulb is made out of glass and artificial light The glass is to couscous the light to the spot you would like it and the artificial light is from the energy in the air that comes from your wall When you plug in a light a computer or anything that has a plug the energy goad through whores that travel over our hes and under us These 2 things are all plugd into a wall 
E-BS,L-EE,explanation,prism,The picture I drew was making a rainbow out of a prism This picture is with two prisms this is how it works If you shine a light on a prism a rainbow will appear but if you put another prism in front of the other prism the light will turn white again This is How to make white light through a viable spectrum 
E-H,L-E,explanation,objects,If you look at a red rose in green light the rose doesn't absorb the green light so the rose appears black 
E-BS,L-EE,explanation,objects,If you look at a red rose in magenta light the magenta light red and blue hits the red surface The color red is reflected But the color blue is absorbed then the rose appears red 
E-S,L-F,fact,pri&sec,the primary colors are red green and blue 
E-S,L-EF,fact,reflection,when light hits a flat mirror the angle of incidence equals the angle of reflection When an incident ray hits a 40 degree angle it will come out a 40 degree angle 
E-BS,L-F,fact,diffused,Diffused reflection is when a light goad to wards a bumpy mirror and bounces in all directions 
E-BS,L-F,fact,materials,A transparent object is see through A prism is transparent and a peace of glass is transparent 
E-BS,L-F,fact,materials,An opaque object is not see through a brick book computer pencil and a tooth are all not see through 
E-BS,L-EF,fact,materials,A translucent object is not see through That means that you cant look through it But a little light can come through A translucent object can be a pace of paper and an mica computer 
E-BS,L-EF,fact,reflection,A concave mirror has a sort of cave shape We have mirrors that are flat the mirror that I am talking about is that mirror but pushed in This mirror looks like a bowl When you look into it you see a long shape of yourself 
E-BS,L-EF,fact,reflection,a convex mirror is the very opposite This mirror is pushed out This mirror looks like a belly As we gr 4 call it a belly mirror when you look into one of these mirrors you see yourself up side down 
E-BS,L-EF,fact,lens,concave lens heal near sided people see far sided The light rays goad through the eyes and connect at the back of the head 
E-BS,L-F,fact,lens,The convex lens is the very opposite This is to heal far sided people see near sided 
E-BS,L-F,fact,lens,The convex glass can also be used in magnifying glasses and in circus mirrors 
E-H,L-F,fact,sunpanel,Solar panels are used for obsoleting light and made into electricity 
E-BS,L-F,fact,bio,Photoluminescence is something that makes its own light 
E-BS,L-F,fact,glow,Chemiluminescence is light caused by chemicals 
E-BS,L-E,explanation,lens,Fluorescence objects are glow in the dark objects A sea animal that lives under the water is glow in the dark and glow in the dark star stickers and bandages Fluorescence objects are made be friction like two rocks rubbing together 
E-BS,L-EF,fact,laser,lasers are very bright and very strong They can go through anything If you put a red balloon inside a a white balloon and shine a laxer on it the balloon will pop 
E-H,L-EF,fact,shadow,a shadow wilel appear when you are facing north Your shadow wilel be in front of you If you are facing south your shadow wilel be behind you And if you are facing east your shadow wile be on your right and if you are facing west your shadow is on your left 
E-BS,L-F,fact,shadow,an umbra is a dark shadow 
E-BS,L-F,fact,shadow,and a penumbra is a light shadow 
E-BS,L-E,explanation,eclipse,A lunar eclipse is when the moon covers the sun Long time ago a man predicted that there would be a lunar eclipse and he was right 
E-BS,L-E,explanation,eclipse,A Solar eclipse is when the sun covers the moon 
E-H,L-E,explanation,shadow,My understanding about Shadows is that when light hits you it creates a shadow My theory is that the light hits you and goes around you to make a shadow Heres a picture to make it more simple 
E-BS,L-F,fact,shadow,When you see your shadow you'll see a dark shadow and light shadow is called a Penumbra 
E-BS,L-EE,explanation,eclipse,A solar eclipse is an eclipse of the sun It occurs when the moon is located between the sun and the earth The moon blocks the sunlight coming to the earth 
E-BS,L-EE,explanation,eclipse,My understanding about a Lunar eclipse is that when the Earth is between the Sun and the Moon The Sun casts a shadow over the moon called a lunar eclipse 
E-H,L-EE,explanation,travel,My theory's that light travels in a wave line because if you drive behind a bus you'll see heat that looks wave 
E-BS,L-F,fact,laser,My understanding of Lasers is that it is a beam of light that can burn through anything 
E-BS,L-F,fact,bio,My understanding of photoluminescence is that some creatures like a firefly glows in the dark witch is called photoluminescence 
E-BS,L-E,explanation,glow,Also they react like chemiluminescence witch is a process of changing chemic energy into light energy 
E-BS,L-F,fact,glow,My understanding of fluorescence is that it is a process of light while reviving energy 
E-BS,L-EF,fact,pri&sec,To make white light is to shine blue light red light and green light Shine all of the colors in the same spot Then you will see white light Here is a picture to make it more simple 
E-BS,L-F,fact,lens,A concave lens is a lens that spreads out light 
E-BS,L-F,fact,lens,A convex lens is a lens that focus light 
E-BS,L-F,fact,reflection,The law of reflection is that if the light hits a flat mirror  the angle of incidence  the angle of reflection 
E-BS,L-EF,fact,diffused,Light can be diffused when light is shone and hits a bumpy mirror and reflects and the light spreads out like a concave lens  whits is called diffused reflection 
E-BS,L-E,explanation,sunpanel,Solar panels absorb sun light rays and turn them into energy 
E-H,L-F,fact,reflection,A concave mirror is like a concave lens witch spreads out light 
E-H,L-F,fact,reflection,and for a convex mirror it focus light like a convex lens 
E-BS,L-F,fact,materials,A transparent object is a object that is see through 
E-BS,L-F,fact,materials,A translucent object is a object that is sort of see through
E-BS,L-F,fact,materials,and a opaque object is a object that is not able to be see through 
E-BS,L-E,explanation,objects,To reflect colors the object has to be the same color to reflect the light colorTo absorb light color the object has to be not the same color to be absorb 
E-S,L-F,fact,pri&sec,The primary colors are red green and blue 
E-S,L-F,fact,pri&sec,The secondary colors are yellow cyan and magenta 
E-BS,L-F,fact,postimage,Eye cones are thing are that respond to colors that are red blue and green 
E-BS,L-F,fact,northern,The Northern lights are branches of light color that usually found in the North pole 
E-H,L-EF,fact,prism&rainbow,To make a rainbow withs prism is simple  Just get a prism and go outside Then hold the prism in the air and you'll see a rainbow But sometimes you can not see all the colors
E-PS,L-EE,explanation,shadow,Shadows A shadow is an inexact reflection of your body that shows on a very sunny day when you are outside You see your shadow when you happen to be outside and you look down at the ground Also your shadow touches you wherever you touch the ground 
E-BS,L-F,fact,shadow,An umbra is the darker part of a shadow 
E-BS,L-F,fact,shadow,and the penumbra is the lighter part of a shadow 
E-H,L-F,fact,eclipse,A lunar eclipse is when the sun goes in front of the moon 
E-BS,L-F,fact,eclipse,and a solar eclipse is just the reverse of a lunar eclipse 
E-S,L-EF,fact,pri&sec,Co lours of light You can make white light by mixing red green and blue  primary colors of light light together 
E-S,L-F,fact,pri&sec,and red and blue makes magenta 
E-S,L-F,fact,pri&sec,red and green make yellow 
E-S,L-F,fact,pri&sec,and finally green and blue make cyan a shade of blue 
E-S,L-EE,explanation,objects,Also you can see a green object because white light shines on that object white light has red orange yellow green blue indigo and violet in it and the object absorbs all the colors except green which is reflected into the eyes of the person that is looking at the object 
E-S,L-F,fact,pri&sec,The secondary colors of light are the colors that the primary colors make when mixing each other 
E-S,L-EF,fact,pri&sec,The secondary colors of paint are orange  green and violet and they are the colors that the primary colors make when they mix each other 
E-S,L-EE,explanation,objects,We see a red rose when there is a flashlight or another light source that will shine on the rose and absorb the green and blue light and reflect the red light into our eyes 
E-S,L-EE,explanation,objects,and how we see a yellow rose is that it is the same but the red and green light are reflected and blue is absorbed 
E-BS,L-EE,explanation,rainbow,How do you make a rainbow with rain The sky is still wet with raindrops and the sunlight shines through the drops and a rainbow forms in the sky Make a rainbow with a prism exactly the same way 
E-H,L-EF,fact,postimage,There are three rinds of eye cones in your eyes They are red green and blue They are sensitive to objects that are either yellow red green blue cyan or magenta 
E-H,L-EE,explanation,northern,The northern lights are also called the aurora Borealis and they are lights in the sky that are mixtures of colors that are seen only in the northern parts of the world and that is why they are called the northern lights 
E-BS,L-F,fact,materials,Transparent means see through Transparent objects are ice and water examples 
E-BS,L-F,fact,materials,Translucent means a little light can pass through like tracing paper and wax paper 
E-BS,L-F,fact,materials,Opaque means no light can pass through All other objects are opaque and there are a lot of opaque objects in the world 
E-BS,L-F,fact,diffused,Diffuse reflection is when light bounces off of a bumpy mirror or a piece of crumpled aluminum foil and goes in all directions 
E-BS,L-EE,explanation,reflection,The law of reflection on a flat mirror is when the incident ray goes on the mirror and makes the angle of incidence There is an invisible line between the angle and ray of incidence and the angle and ray of reflection The reflection ray is the reflection of the incident ray 
E-BS,L-EF,fact,lens,The gilt rays from a convex lens go inwards into a point That point is the meeting place of the light 
E-BS,L-F,fact,lens,The light rays from a concave lens go outwards like a V shape sort of 
E-BS,L-F,fact,bio,Photoluminescence means that a living thing gives off its own light A firefly is an exemplar of a electroluminescent living thing 
E-BS,L-F,fact,glow,Chemiluminescence means that an object gives off light because of some kind of chemical inside of it 
E-H,L-F,fact,glow,Things that glow are called fluorescent objects fluorescence 
E-PS,L-EF,fact,see,Your eyes can adjust to darkness after a few minutes in pitch blackness In a movie theater the movie has light on the screen but it isn't very bright But at least you can see the outlines of the people that you are sitting between 
E-S,L-E,explanation,travel,I think that light travels in straight lines and some other people think that light travels in waves I also think that light is a wave but it travels in straight lines I think light travels in straight lines in two ways 
E-BS,L-E,explanation,rainbow,A rainbows are made by raindrops that act like a prism that make the rainbow 
E-BS,L-F,fact,postimage,The three cones are green red and blue 
E-BS,L-E,explanation,postimage,If you look at a green apple for a long time the green cone gets tired but the red and blue are not tired and together red and blue make purple and purple is the opposite color of green 
E-S,L-F,fact,pri&sec,Red green and blue are the three primary colors of light 
E-S,L-F,fact,pri&sec,You get Cyan when you mix green and blue 
E-S,L-F,fact,pri&sec,You get yellow when you mix red and green 
E-S,L-F,fact,pri&sec,You get magenta when you mix red with blue 
E-S,L-F,fact,pri&sec,those three colors are the three secondary colors of light 
E-S,L-F,fact,pri&sec,You get white when you mix all three primary colors of light 
E-S,L-EE,explanation,northern,The Northern Lights are ribbons of red pink and ghostly green lights that dance and shimmer for hours across the sky They occur when the sun bombards earth with tiny particles of electricity too small for us to see When these particles hit the highest part of the earths atmosphere they electrify the air and make it glow 
E-S,L-EE,explanation,northern,Why are Northern Lights different colors Each gas in earths atmosphere glows with its own color when it becomes charged with electricity Oxygen gives off an eerie green glow nitrogen glows red and neon gas turns pink 
E-BS,L-F,fact,objects,If colored light shines on a red pence case all the colors get absorbed but red red gets reflected 
E-BS,L-F,fact,objects,If colored light shines on a blue ruler all the colors get absorbed but blue blue gets reflected 
E-BS,L-F,fact,objects,If colored light shines on a Black object all the colors of light get absorbed 
E-BS,L-F,fact,objects,If colored light shines on a white object all the colors of light get reflected 
E-BS,L-EE,explanation,travel,My theory's that light travels in waves because when we did an experiment with progesterone and a tennis ball hanging from the vealing on a piece of string And when we shone light on it the tennis balls shader was clear But the strings shadow had some light on it 
E-BS,L-F,fact,materials,Transparent objects are things that light can go through freely through glass and clear plastic 
E-BS,L-F,fact,materials,Translucent objects are things that light can go through a bit like paper 
E-BS,L-F,fact,materials,Opaque things are things that light cant go through things and produces a shadow Opaque things are humans buildings and lots more 
E-BS,L-F,fact,reflection,A convex mirror is shaped like Richard Massing belly 
E-BS,L-F,fact,reflection,A concave mirror is shaped like a caves entrance 
E-S,L-EE,explanation,sunpanel,Dull dark surfaces do not reflect much light so they are perfect for solar panels instead they absorb the suns rays and turn them into thermal energy this means that on a roof there are dark hoses of water  The water heats up because the hoses are absorbing the suns rays and they are isolated The heated water is pumped into a storage tank where it used to heat the house  
E-S,L-EF,fact,reflection,The angle incidents equals the angle of reflection 
E-BS,L-EF,fact,diffused,A defuse reflection happens when light hits a bumpy mirror 
E-BS,L-F,fact,laser,Lasers are very highly bright and intense light It can burn through anything 
E-BS,L-E,explanation,glow,Most things that glow have some fluorescent paint on them This paint absorbs light and then glows until it has no more light absorbed in it 
E-BS,L-F,fact,bio,Photoluminescence are living things that gives off its own light 
E-BS,L-F,fact,glow,Chemiluminescence is perused by chemical reactions  
E-BS,L-E,explanation,shadow,A shadow is made when darkness made when light shines on a opaque object  
E-BS,L-F,fact,shadow,A unbar is a dark shadow  
E-BS,L-F,fact,shadow,A penumbra is a light shadow 
E-BS,L-E,explanation,eclipse,A liner eclipse is when the earth is between the sun and the moon 
E-BS,L-E,explanation,eclipse,A solar eclipse is when the moon is between the sun and the earth 
E-H,L-F,fact,shadow,When a small light hits an nontransparent object it makes an umbra 
E-BS,L-F,fact,shadow,When a larger light hits the same nontransparent object it makes an larger shadow then before and that is called an penumbra 
E-S,L-EF,fact,shadow,When two different colored lights hit an nontransparent object it makes two different colored shadows one that is on one side of the nontransparent object and one that is one the other lets say that the two different colored lights where red and green and you shined those lights on each side of an nontransparent objects ball One shadow will be green and the other will be red but on either side of the nontransparent object 
E-BS,L-F,fact,materials,An opaque object is an nontransparent object but in an scientific way 
E-BS,L-F,fact,shadow,I also understand that the shadow is always on the parasite side of the light source 
E-H,L-F,fact,shadowsize,The closer you are to the light source the bigger your shadow is 
E-H,L-E,explanation,shadow,A shadow is made when a light source hits an object 
E-H,L-E,explanation,eclipse,A lunar eclipse is when the sun foe between the moon and casts a shadow 
E-H,L-E,explanation,eclipse,A solar eclipse is when the sun goes in front of the moon 
E-H,L-E,explanation,shadowsize,I need to understand why you can get two different kinds of shadows one that is larger than you and one that is smaller than you my theory of what happens is that it appends on the time of day 
E-H,L-EF,fact,travel,There are many theories about light there is the straight line theory that is when light travels in straight lines only There is also a theory that is called ripple waves that is when you tutu still water and it makes ripple waves the man that discoverer ripple waves was Christian Huygens The other theory is the combo theory that is when the waves are in the straight lines And there is the cancel out theory and that is where the straight lines cancel the waves 
E-BS,L-F,fact,refraction,I all so know that when light goes in to a different medium it bends more like air and water those are different mediums 
E-BS,L-F,fact,laser,A laser is a really hot berm of light and it can burn mete 
E-BS,L-F,fact,glow,chemiluminescence is a chemical that makes light 
E-BS,L-F,fact,bio,photoluminescence is a animal that makes its on light 
E-BS,L-E,explanation,glow,What helps things that glow are fluorescence pink and other colors 
E-S,L-F,fact,pri&sec,The primary colors of light are red blue and green 
E-S,L-F,fact,pri&sec,The secondary colors are cyan yellow and magenta 
E-BS,L-EF,fact,postimage,You have three eye cones in your eyes one is red and one is green and one is blue They are all sensitive to there own colors 
E-BS,L-E,explanation,objects,If your body wants to see a red rose the red is bounced into your eyes and the other colors are absorbs 
E-BS,L-E,explanation,objects,If your body wants to see a yellow green and red is bounced into you eyes and the blue is absorbed 
E-BS,L-F,fact,northern,Northern lights are colored lights in the ski 
E-BS,L-F,fact,prism&rainbow,If you want to make a rainbow there are two ways to so you could either shine light on water or on a prism it will work either way
E-BS,L-F,fact,materials,Transparent is something that you can see through 
E-BS,L-F,fact,materials,Translucent is something that you can sort of see through 
E-BS,L-F,fact,materials,Opaque is something that you can not see through 
E-BS,L-F,fact,reflection,A concave mirrors a cave shape mirror 
E-BS,L-F,fact,reflection,A convex mirror is like a tummy 
E-BS,L-F,fact,reflection,The law of reflection is the angle of incident equals the angle of reflection 
E-BS,L-F,fact,diffused,Diffuse reflection means when light hits busby service light moves all over the place 
E-BS,L-F,fact,lens,When light hits a convex lens it focuses the light and then speeds the light 
E-H,L-E,explanation,sunpanel,Solar panels takes in light and makes it in to energy 
E-BS,L-F,fact,reflection,A concave mirror takes in light and dress it out 
E-BS,L-E,explanation,shadow,My understanding shadows starts at the shadow view if a light sours hits a optic nontransparent object which creates a shadow Such as a person is standing behind a light sours and a shadow papers behind them 
E-BS,L-EE,explanation,eclipse,I also learned that a solar eclipse happens when the moon blocks the sun which makes a large shadow over the earth That is why when your outside and the sun dispersals its just a large shadow 
E-BS,L-EE,explanation,eclipse,I also learned that a lunar eclipse is caused when the earth is between the sun and the moon 
E-BS,L-EF,fact,prism&rainbow,The next view is the Co lours of Light view with rainbows A rainbow is created when white light hits though a prism and makes a rainbow You can also diffuse a rainbow by letting the light make a rainbow and put another prism beside and it and it creates white light again
E-S,L-F,fact,pri&sec,The primary colors of light are Bluebeard green 
E-BS,L-F,fact,pri&sec,The primary colors can be made into the secondary colors 
E-S,L-F,fact,pri&sec,The secondary colors are Reacknowledgment 
E-S,L-F,fact,pri&sec,and Agreeableness 
E-S,L-F,fact,pri&sec,and Bluejacket 
E-S,L-F,fact,pri&sec,And the secondary colors all mixed into one makes white light 
E-BS,L-E,explanation,rainbow,Rain can can be used as prisms thats why theres a rainbow after it rains 
E-BS,L-F,fact,see,All we see Now to the All we see is light view A myriad of notes agree on that you can only see with light 
E-BS,L-EE,explanation,objects,Also if your looking at a yellow flower the blue light would be absorbed allowing the two other colors to both making yellow would bounce of into your two sensitive cone to those colors 
E-BS,L-F,fact,bio,Photoluminescence is light created by animal 
E-S,L-F,fact,pri&sec,The primary colors of light are red green and blue 
E-S,L-F,fact,pri&sec,The secondary colors of light are yellow magenta and cyan 
E-S,L-F,fact,pri&sec,To make white light you need to mix all the primary colors together 
E-BS,L-EE,explanation,northern,The Northern lights are caused by the sun bombarding the earth with tiny partials of electricity When these partials hit the highest part of the hates atmosphere it electrolysis the air and makes it glow 
E-BS,L-F,fact,prism&rainbow,To make a rainbow with a prism you need to shine light through a prism and it makes a rainbow
E-BS,L-EE,explanation,rainbow,To make a rainbow with rain it in voles moisture in the air and since there is moisture in the air the moistness acts like a prism 
E-BS,L-F,fact,pri&sec,There is a thing called a color wheel 
E-BS,L-F,fact,postimage,There are cones in your eye They are sensitive to colored light 
E-BS,L-F,fact,postimage,If you stare at a picture of a green frog for 10 seconds then stare at a blank sheet of paper you will see a RED frog 
E-BS,L-EE,explanation,objects,When looking at a red rose you need light right You do so when your looking at that objetc the light shines on it and since it is red it refletcs the red light off the objetc and all the other colors get absorbed Its the same with any other color including yellow green etc 
E-S,L-F,fact,materials,There are three different types of materials opaque translucent and transparent 
E-BS,L-F,fact,materials,Opaque means nothing can pass through it 
E-H,L-F,fact,materials,Translucent means that it is see through but is colored 
E-BS,L-F,fact,materials,Transparent means it is completely see through 
E-BS,L-F,fact,reflection,A concave mirror focuses the light inward 
E-BS,L-F,fact,reflection,A convex mirror focuses the light outward 
E-BS,L-F,fact,reflection,The law of reflection is the angle of incidence equals the angle of reflection 
E-BS,L-F,fact,diffused,De fussed reflection is like this 
E-PS,L-F,fact,lens,A convex lens focuses the light outward on the other side of the lens 
E-PS,L-F,fact,lens,A concave lens focuses the light inward on the other side of the lens 
E-BS,L-E,explanation,sunpanel,A solar panel absorbs light and uses it as energy 
E-BS,L-E,explanation,bio,Fireflies produce light from their abdominals because of a chemical reaction caused by Lucifer and Lucifer This is called photoluminescence 
E-BS,L-E,explanation,glow,This is how a glow stick works When you snap a glow stick it makes a little hole and to chemicals collide and then they glow This is called chemiluminescence 
E-BS,L-F,fact,glow,Fluorescence is when a object is emitting a glow while getting light from another source 
E-BS,L-F,fact,laser,A laser is so very very strong it can cut through anything 
E-BS,L-E,explanation,shadow,A shadow is made by standing in front of a light source and then the place you block up is where the shadow is made 
E-BS,L-F,fact,shadow,A umbra is a dark shadow caused by a small light source 
E-BS,L-F,fact,shadow,A penumbra is a light shadow caused by a big light source 
E-BS,L-E,explanation,eclipse,A solar eclipse is when the moon passes in between the sun and the earth causing a big shadow 
E-BS,L-EE,explanation,eclipse,A lunar eclipse is when the earth is right in between the sun and the moon winch casts a shadow over the moon making the moon total darkness 
E-,L-F,fact,travel,Our class has many theories about how light travels We have 5 theories 1 Ripple 2 Wave 3 Wave in tube 4 Particle 5 Straight 
