Scientificness,Complexity_level,Complexity_type,Subject,text
E-,L-F,fact,see,There are 3 different theories about how light effects how we see The two theories are your eyes can adjust to light they cant and you see only the outlines 
E-BS,L-F,fact,stars,My understanding of Light In natural and artificial light even though I am a master of that view I Know that stars are made of gas not fire I found that interesting because before I read those notes I thought that stars were made of fire and only planets were surrounded by gas 
E-BS,L-F,fact,laser,I also learned lasers can cut through absolutely anything Even diamonds 
E-BS,L-F,fact,bio,Also I learned that 70 percent of the underwater animals use photoluminescence I also found this interesting fungi and bacteria use photoluminescence 
E-BS,L-E,explanation,glow,I thought glow in the dark could only happen with one thine but then I read Yasmin note and saw that it happens with three things heat friction and electricity 
E-H,L-E,explanation,shadowsize,In the shadows view I learned The closer the sun is to you the stronger it is 
E-BS,L-E,explanation,shadow,Also I learned That your body blocked the sun and that creates a shadow The sun goes through the ground and makes a shadow for a root 
E-BS,L-F,fact,shadow,A umbra is the darker part of the light that you may shine anywhere You see the umbra when the light hits something 
E-BS,L-F,fact,shadow,The penumbra is a lot like the umbra but is the lighter part 
E-BS,L-F,fact,materials,in light and materials I know that a transparent object is See through 
E-BS,L-F,fact,materials,a translucent object is Sort of see through 
E-BS,L-F,fact,materials,and Opaque is Non see through 
E-BS,L-F,fact,reflection,you can see more in a convex mirror than a concave mirror 
E-BS,L-F,fact,reflection,The law of reflection is when the indecent ray hits the flat mirror the Reflection ray bounces back 
E-BS,L-F,fact,diffused,a diffuse reflection is when light hits a something bumpy and the light goes everywhere 
E-BS,L-EE,explanation,sunpanel,Solar panels are used for sucking up sunlight and using the sunlight for something such as a solar powered windmill That works by the sunlight getting sucked into a solar panel and the light moves the windmill 
E-PS,L-EF,fact,reflection,when light hit a concave mirror the light rays go everywhere but when light rays hit a convex mirror they act normally 
E-S,L-F,fact,pri&sec,in Co lours of light it talks about the primary colors of light are red blue and green 
E-S,L-F,fact,pri&sec,and the secondary colors are yellow magenta and cyan 
E-S,L-F,fact,pri&sec,If you mix the primary colors of light you get white light 
E-BS,L-F,fact,prism&rainbow,If you shine light through a prism it makes a rainbow
E-BS,L-E,explanation,rainbow,a rainbow in rain is made because its so damp outside 
E-BS,L-E,explanation,objects,We see a red rose because The primary colors go to the rose and green and blue get absorbed and red bounces off 
E-BS,L-E,explanation,objects,we see a yellow rose because all the secondary colors go at the rose the magenta and cyan gets absorbed but yellow bounces off 
E-BS,L-EF,fact,postimage,You have three eye cones a blue cone a red cone and a green cone The red cone is sensitive to red light the green cone is sensitive to the green light and the blue cone is sensitive to blue light 
E-BS,L-F,fact,northern,the northern lights are usually found up north people used to be scared of them 
E-BS,L-E,explanation,shadow,A shadow is the darkness left behind when a light sours shines on a nontransparent object 
E-BS,L-F,fact,shadow,There are two types of shadows the umbra and the penumbra 
E-BS,L-F,fact,shadow,The umbra is a small and dark shadow you will get when you use a small light sours  
E-BS,L-F,fact,shadow,The penumbra is a lighter shadow around the umbra You get the penumbra when you use a large light 
E-BS,L-E,explanation,eclipse,A solar eclipse is when the moon blocks the sun light from coming to the earth 
E-PS,L-E,explanation,eclipse,A lunar clips is when the sun blocks the moons light from going to earth 
E-BS,L-F,fact,sundial,you can use shadow to tell time with a sundial 
E-S,L-F,fact,pri&sec,The primary colors of light are red green and blue 
E-S,L-F,fact,pri&sec,and the primary colors of paint are red yellow and blue 
E-S,L-F,fact,pri&sec,The secondary colors of light are yellow cyan and magenta 
E-S,L-F,fact,pri&sec,The secondary colors of paint are purple orange and green 
E-S,L-F,fact,pri&sec,You can make white light by mixing red blue and green 
E-BS,L-EE,explanation,object,A red rose looks red because the red light in the white light reflects of the rose and in to your eyes the blue and green light gets absorbed 
E-BS,L-EE,explanation,object,A yellow flower looks yellow because the red and the green light in the white light are reflexed in to you eyes and the blue is absorbed 
E-S,L-F,fact,object,Light can be reflected and absorbed 
E-BS,L-EF,fact,postimage,We have 3 different eye cones The 3 eye cones are 3 different colors those colors are red green and blue 
E-BS,L-F,fact,northern,The northern lights are also called the Aurora Borealis The Aurora Borealis is light There are lots of colors in the Aurora Borealis 
E-BS,L-E,explanation,rainbow,You can make a rainbow with a prism by outing light thought a prism of rain Rain is what make the rainbow in the sky 
E-BS,L-F,fact,materials,There are 3 ways to describe an object the 3 ways are transparent translucent and opaque 
E-BS,L-F,fact,materials,A transparent object is like glass you can see through it 
E-BS,L-F,fact,materials,A translucent object is an object that is Ike sand falling through water light can go through it 
E-BS,L-F,fact,materials,An opaque object is like peter light cant go through him 
E-BS,L-EF,fact,reflection,A concave mirror looks like a bowl When light hits a concave mirror it bounces of like in the picture below 
E-BS,L-F,fact,reflection,A convex mirror looks like the picture above on the right 
E-S,L-EF,fact,reflection,There is some thing called the law of reflection The law of reflection on a flat mirror is when the light bounces of the mirror at the same angle it came on to the mirror 
E-BS,L-EF,fact,diffused,A diffused reflection happens on a bumpy mirror Its when all the light goes in lots of directions 
E-BS,L-F,fact,lens,A convex lens focuses the light 
E-BS,L-F,fact,lens,A concave lens speeds out the light 
E-BS,L-E,explanation,sunpanel,Solar panels are panels that use light to make electricity 
E-BS,L-F,fact,glow,There are 4 come types of luminescences Photoluminescence Chemiluminescence Electro luminescence and Thermoluminescence 
E-H,L-F,fact,glow,Things that glow are called fluorescence 
E-BS,L-F,fact,laser,Gazers are very strong and used for a lot of things 
E-BS,L-E,explanation,see,All we see is light Without light we can not see 
E-BS,L-E,explanation,travel,My theory is that light travels in a wavy straight line 
E-BS,L-EE,explanation,shadow,Shadow darkness made when light shines on an opaque nontransparent object If the light shines on an opaque object it is imposable for the shadow to be on the same side the light is coming from unless there is a mirror If there is no light there isn't a shadow So there is a shadow where the light cant reach 
E-BS,L-EE,explanation,eclipse,A lunar eclipse is when the earth is between the sun and the moon and it casts a shadow over the moon 
E-BS,L-E,explanation,eclipse,A solar eclipse is when the sun goes in front of the moon 
E-BS,L-F,fact,stars,The sun is the most important light source 
E-BS,L-EF,fact,glow,Objects that give off their own light are called luminous objects Light sources don't have to be natural to be luminous The sun is luminous as well 
E-BS,L-F,fact,glow,Objects that don't give off light are non luminous 
E-BS,L-F,fact,glow,A flashlight is luminous when on but is non luminous when switched off 
E-BS,L-EE,explanation,glow,Inside luminous objects or animals some form of energy changes into light energy This energy usually changes into chemical electrical thermal and nuclear energy The process of giving off light is called incandescence 
E-BS,L-F,fact,bio,When an animal gives off its own light its called photoluminescence as in biomasses 
E-BS,L-F,fact,glow,Chemiluminescence is produced by certain chemical reactions For example glow sticks 
E-BS,L-F,fact,electric,Electro luminescence is produced by electric discharges For example when silk or fur is stroked or when adhesive surfaces are separated 
E-BS,L-EF,fact,glow,Thermoluminescence is different souses that glow by friction and can create blue sparks One of these sources is wintergreen Life Savers If you are chewing one turn the lights of  Look in a mirror while chewing Look in your mouth and you will see the candy brakes up in to blueish green sparks 
E-BS,L-F,fact,rainbow,A rainbow is made up of seven different colors Red orange yellow green blue indigo violet 
E-BS,L-E,explanation,rainbow,It is made when raindrops fall on something like a leaf and the sunshine shines through the leaf and the raindrop acts like a prism 
E-S,L-F,fact,pri&sec,The primary colors of light are blue green and red
E-S,L-F,fact,pri&sec,and the secondary colors are yellow magenta and sin 
E-S,L-F,fact,pri&sec,Yellow is made when mixing green and red 
E-S,L-F,fact,pri&sec,magenta is made when mixing red and blue 
E-S,L-F,fact,pri&sec,and sin is made when mixing green and blue 
E-S,L-F,fact,pri&sec,All of the secondary colors mixed together equals white light 
E-BS,L-EE,explanation,postimage,You have three eye cones in your eyes One is sensitive to red one is sensitive to blue and one is sensitive to green so when you see something blue the blue eye cone starts getting sensitive so you can see the color 
E-BS,L-EE,explanation,objects,When we look at a red rose the red eye cone color bounces off into our eye and the other two colors absorb so you see the color of the rose 
E-BS,L-E,explanation,objects,When we see a yellow rose blue would absorb and green and red would bounce off into our eye which makes yellow 
E-BS,L-F,fact,materials,A transparent object is clear and lets 100 light pass through 
E-BS,L-F,fact,materials,A translucent object is clear swell but only lets 50 go through 
E-BS,L-F,fact,materials,An opaque object lets 0 through 
E-BS,L-F,fact,reflection,The law of reflection on a flat mirror is The angle of incidence equals the angle of reflection 
E-S,L-EE,explanation,travel,When we had the class debate I was the only student who was not on a side because my theory was light travels in waves but the waves go in a strait line and the debate was between straight line and waves And now we have lots of ideas from the debate and we don't know which one is right now is light travels sort of like this Light travels in a straight line but appears to be wavy or light travels in waves but appears to be straight That means that light has aspects of both straight lines and waves It depends on how you look at it Or what your experiment is trying to prove In our class we have seen experiments that prove both that light travels in straight lines box with powder and shadow experiments and wavy lines Thomas Young experiment 
E-H,L-EE,explanation,pri&sec,My understanding of Light The colors of light Light is made up of many many different colors You cannot see those colors because those colors mixed together to get white light White light is transparent so you cant see it 
E-BS,L-EE,explanation,rainbow,When it rains the raindrops split the light so you can see 7 discolored orange yellow green blue indigo and violet that make a rainbow 
E-S,L-EE,explanation,objects,The way you see what color everything is is because of light hitting your eye when their is a green leaf the light hits it before it splits up it is called white light the green leaf absorbs the other colors but the green keeps going because it is the same color The green light keeps going until it goes into your eye Then the brain identifies what color and it is 
E-BS,L-EF,fact,postimage,Cones are things that respond to colored light There are three kinds of light that cones respond to Red blue and green 
E-BS,L-EE,explanation,postimage,Cones tire easily If you were looking at a green apple the cone that responds to green light gets tired So when you look at a piece of white paper the green cone would be to tired but the red and blue wouldn't and red and blue make purple And purple is the opposite of green on the color wheel 
E-BS,L-EF,fact,prism,Light is the colors of the rainbow compressed to make white light A prism splits up light into separate colorsred orange yellow green blue indigo violet 
E-BS,L-EE,explanation,rainbow,This is why the colors of the rainbow are in the same order As you know there are seven colors that we know of They all travel at a the same wave frequency and they get mixed But when light goes through something like rain the frequency of the light waves get differed For some reason red always has the longest frequency and purple has the shortest 
E-BS,L-EF,fact,pri&sec,There are different names for the colors of light Those names are the primary colors of light and the secondary colors of light There not just named orally The primary colors are the first colors that make up the secondary colors 
E-S,L-EF,fact,pri&sec,The primary colors are red blue and green The same colors as your eye cones 
E-S,L-F,fact,pri&sec,The secondary colors are yellow cyan and magenta yellow indigo and purple 
E-S,L-F,fact,pri&sec,Red and blue make magenta 
E-S,L-F,fact,pri&sec,Blue and green make cyan and 
E-S,L-F,fact,pri&sec,green and red make yellow 
E-S,L-F,fact,pri&sec,All three primary colors make white 
E-BS,L-EE,explanation,objects,That is why when you look at a yellow thing the red and green light bounce of it but blue gets absorbs mixes and comes to your eye as yellow 
E-BS,L-EE,explanation,northern,A thing that involves color and is very magnificent is the northern lights This happens because of magnetic disturbances of the sun The sun sends out particles of electricity that are microscopic The earths atmosphere makes the air electrified and then it glow The colors that glow are red pink and green 
E-BS,L-F,fact,reflection,Light and materials The most useful materials to use in experiments about light are lenses and mirrors But first mirrors There are two kinds of mirrors There names are concave and convex 
E-S,L-EF,fact,reflection,A convex mirror is shaped like a belly and a concave mirror is shaped like a cave 
E-S,L-EF,fact,reflection,A concave mirror concentrates the light and a convex mirror does the opposite 
E-S,L-EF,fact,reflection,A convex mirror since it spreads the light out lets you see more of the stuff behind you A concave mirror since it concentrates light lets you see close up Concave mirrors are used by doctors to see up close 
E-BS,L-F,fact,reflection,You cant forget flat mirrors There sort of in the middle Flat mirrors are pretty important to 
E-S,L-EF,fact,reflection,They also have something called the law of reflection The law of reflection is the angle of incidence equals the angle of reflection To clarify that if light hits a flat mirror at say a 75 degree angle it is going to come off the mirror at a 75 degree angle 
E-H,L-F,fact,reflection,That law only works for smooth mirrors though 
E-BS,L-F,fact,diffused,On bumpy mirrors the reflected ray would go in all directions That is a called a diffused reflection 
E-BS,L-F,fact,lens,Now lenses There are two kinds of lenses Concave and convex Just like the mirrors they do the same things 
E-BS,L-EF,fact,lens,You can add another lens to one of those lenses also A double concave lens would spread out the light and a double convex would concentrate the light 
E-S,L-F,fact,lens,Lenses are transparent 
E-S,L-F,fact,materials,There are two other forms that Translucent and opaque 
E-BS,L-F,fact,materials,A transparent object means see through 
E-H,L-F,fact,materials,a translucent object colors the light and 
E-S,L-F,fact,materials,an opaque object means that it stops the light completely 
E-BS,L-EE,explanation,sunpanel,There are also things called solar panels They are made to catch light The light that they catch is used to make electricity Solar panels probably have a lot of tubes connected 
E-BS,L-EF,fact,glow,There are two kinds of light Natural and artificial Natural light is light from a natural light source and artificial light is something that is made from a artificial light source like light bulbs 
E-H,L-EF,fact,bio,But first natural light There are two sections that I am going to write about First photoluminescence Photoluminescence is made from a living thing Like electric sale They make their own light Therefore electric sale are electroluminescent So are glow worms squids fireflies and even bacteria and fungi 
E-BS,L-F,fact,glow,Now  artificial light First chemiluminescence Chemiluminescence is when chemicals react to make light 
E-H,L-EF,fact,glow,The second thing is fluorescence That is made with friction Like when two stones rub together They make fire whits is heat and light That is fluorescence 
E-BS,L-F,fact,laser,Then there are lasers Lasers are extremely bright and very strong They can go through anything 
,L-EF,fact,laser,News flash If you put a red balloon inside a white balloon and shine a laser at it the laser will pop the red balloon but the white balloon will be unharmed 
E-S,L-EE,explanation,shadow,A shadow is the darkness on the other side of an opaque object whits is nontransparent When a light shines on an opaque object the light cant get around it so there is only darkness whits is a shadow 
E-BS,L-F,fact,shadow,There are two different ways you can play with shadows One is an umbra and the other is a penumbra 
E-BS,L-EF,fact,shadow,And umbra is made when you shine a light source over an object that is bigger than the light source That makes a big shadow that is pretty darker 
E-BS,L-EF,fact,shadow,A penumbra is when you shine a light source on something that is smaller than the light source That makes a little umbra and a penumbra which is lighter 
E-BS,L-F,fact,eclipse,Those are the small the things to do with shadows but there are much bigger things Those things are eclipses There are two eclipses that we know of Solar and lunar 
E-S,L-EE,explanation,eclipse,A lunate eclipse is when the art goes between the moon and the sun The sun hits the eart and the eart casts a shadow on the moon winch give the moon total darkness 
E-S,L-EE,explanation,eclipse,A solar eclipse is when the moon is in the middle and blocks the light from hitting the earth making that side dark 
E-BS,L-E,explanation,see,1 Is it true that all we see is light My theory is that all you see is light bouncing off things in to our eyes 
E-BS,L-E,explanation,see,2 How do we see an object that is transparent translucent or opaque Opaque light bounces off it into your eyes 
E-BS,L-E,explanation,see,Transparent solid light bounces off it because it is a solid and you can see it very faintly 
E-BS,L-E,explanation,see,Translucent more light bounces off then transparent but less light bounces off then opaque objects 
E-S,L-F,fact,see,3 Is it true that we cant see without light Of course not 
E-H,L-EE,explanation,travel,1 How do you think light travels My theory is that since light doesn't travel on anything it has to make enough energy to keep going My theory is that there are little wavelets of energy that travel inside bigger straight lines Like a flashlight That also explains why light is hot 
E-BS,L-F,fact,rainbow,The colors of light I think are in the rainbow winch are redOrangeYellowGreenBlueIndigoand Violet 
E-S,L-F,fact,pri&sec,The primary colors of light are red green and blue 
E-S,L-F,fact,pri&sec,the primary colors of pigment paint are Bluebeard yellow 
E-S,L-EE,explanation,shadow,People make shadows by just standing in the light Because light travels in a titrate line or Waveland it hits a portion or thing and the blocks the light so it cant reach the ground and thee for makes an outline of that object 
E-BS,L-F,fact,glow,There are 2 rinds of light natural and artificial The kind of light that is in your home is artificial if all the windows are covers 
E-BS,L-F,fact,bio,Photoluminescence is light made by animals such as fireflies and the tiny fish that live at the bottom of the sea winch my mom loves 
E-BS,L-E,explanation,objects,Reflecting and absorbing say if there was a red rose and red light hit it it would bounce off And blue light hit it it would absorb 
E-PS,L-F,fact,northern,The aurora Borealis is very bucketful it is light that hits the sky probably threw water that is why it looks waive 
E-H,L-EF,fact,postimage,Eye cones are things that are in your eyes and they see every thing is upside down The image goes threw the eye cone and to the brain and the brain turns it rightsize 
E-S,L-F,fact,pri&sec,fl you want to make white light you mix red blue and green together and you have white light 
E-BS,L-EF,fact,prism&rainbow,fl you want to make a rainbow you put a prism down and you shine a flashlight at it All the colors will come out the other side
E-BS,L-E,explanation,rainbow,If you want a natural rainbow when it rains the rain drops act like prisms and make a rainbow 
E-H,L-E,explanation,objects,How we see a red flower is it goad through your eye and it is upside down The solution to this problem is that your brain turns it around 
E-H,L-EF,fact,shadow,An umbra is a dark shadow and a penumbra is a light shadow for instance if a light is really dim you will have a penumbra if the light is sting its an umbra 
E-BS,L-F,fact,eclipse,A lunar eclipse is when the earth is in front of the moon 
E-BS,L-F,fact,eclipse,a solar eclipse is when the moon goes in front of the earth 
E-BS,L-F,fact,reflection,A concave mirror is a mirror that is bent in 
E-BS,L-F,fact,reflection,A convex mirror is a mirror that is bent out 
E-BS,L-F,fact,bio,Photoluminescence is made by animals whose habits don't have much light 
E-BS,L-F,fact,glow,Misalliance is made by semicircles 
E-BS,L-EF,fact,shadow,We did an ensnarement with different colored projector lenses and an opaque ball handing from the sling and we saw shadows First we saw 1 shadow when we terned on 1 light there was a dark shadow when we turned on 2 lights there were 2 light shadows and uprise surprise when we toned on all the lights there were 3 light shadows 
E-BS,L-F,fact,materials,Transparent objects are objects that you see threw 
E-BS,L-F,fact,materials,translucent is when only some light can shine threw 
E-PS,L-F,fact,reflection,concave mirrors reflect light out and convex mirrors footrace the light 
E-PS,L-F,fact,reflection,the law of reflection on a flat mirror is the light goes onto the mirror and bounces in the isopleth direction 
E-PS,L-F,fact,diffused,the law of diffuse refection is the light goes to the mirror and bounces in the same detection 
E-BS,L-F,fact,lens,concave lenses and light rays help near sited people see far sited and 
E-BS,L-F,fact,lens,convex mirrors help far sited people see near sited 
E-BS,L-F,fact,sunpanel,solar powered things are made with solar panels 
E-BS,L-F,fact,laser,lasers are a toolbox they melt mettle 
E-H,L-EE,explanation,shadow,Shadow My theory is that all the light gets around but it doesn't get past your body so it is dark and the shape of your body 
E-BS,L-F,fact,shadow,An penumbra is a shadow shining around the shadow 
E-BS,L-F,fact,shadow,An umbra is a dark shadow that comes from a small light 
E-BS,L-EF,fact,shadow,Shadows on the earth are not completely black but the shadows on the moon they are 
E-BS,L-F,fact,materials,An opaque is an nontransparent thing 
E-S,L-EE,explanation,eclipse,A lunar eclipse is when the earth is between the sun and the moon and it casts a shadow over the moon 
E-S,L-EE,explanation,eclipse,A solar eclipse it happens when the moon is located between the sun and the earth and the moon blocks the sunlight 
E-BS,L-EE,explanation,sunpanel,Solar energy Solar panels are dark so they attract heat and the sun is turned into thermal energy In the panels there are little tubes and the water gets warmer the warm water is pumped into a storage tank and it heats the house 
E-BS,L-F,fact,glow,Chemiluminescence is produced by a chemical reaction 
E-BS,L-F,fact,bio,Luminescence is made by living things 
E-BS,L-F,fact,laser,Lasers are very bright and intense and can burn through anything 
E-H,L-F,fact,glow,Things that glow have florescences 
E-S,L-F,fact,pri&sec,Co lours of light The primary colors of light are red blue and green 
E-S,L-F,fact,pri&sec,And the secondary colors of light are yellow magenta and cyan 
E-S,L-EF,fact,rainbow,The rainbow is made up of colored light The colors of the rainbow are red orange yellow green blue indigo and violet 
E-BS,L-E,explanation,prism&rainbow,How do out make a rainbow with a prism the white light goes in to the prism and it splits the light up into 7 different color s and those different colors are the colors of them rainbow
E-BS,L-E,explanation,rainbow,How you make a rainbow with rain rain acts likes prisms and do the same thing that prisms do 
E-BS,L-E,explanation,objects,How you see a yellow rose red and green are reflected and all the other colors were absorbed 
E-PS,L-F,fact,pri&sec,Black light is made up of all the colors 
E-PS,L-F,fact,objects,and white light reflects everything 
E-BS,L-F,fact,objects,If you look at something that is blue all the colors are absorbed except blue and that is for every other color 
E-BS,L-EF,fact,postimage,There are three eye cones in our eyes and the colors are red green and blue 
E-BS,L-EE,explanation,northern,The Northern lights are red pink ghostly greens the Northern lights happen when the sun bombards earth with particles that are electric When they hit the highest part of the earths atmosphere they electrify the air and it glows 
E-BS,L-F,fact,materials,Light and materials A transparent object is a see through 
E-BS,L-F,fact,materials,a translucent object is see through but a little burier 
E-BS,L-F,fact,materials,An opaque object is not see through 
E-BS,L-EF,fact,reflection,A concave object is is pushed back and if you look into a concave mirror you see yourself upside and 
E-H,L-EF,fact,reflection,a convex object is pushed out and if you look into a convex mirror you see yourself right side up but you are very large 
E-BS,L-F,fact,reflection,The law of reflection is if light hit s a mirror on a 90 degree angle and it goes back ons 90 degree angle 
E-BS,L-F,fact,diffused,Diffuse reflection is if you crumple tin foil the light goes all over the place 
E-S,L-F,fact,lens,A convex lens concentrates the light 
E-S,L-F,fact,lens,a concave lens spreads the light out 
E-BS,L-E,explanation,refraction,Water refracting light is when light goes in the water after light is in air the light is bent by the water 
E-BS,L-E,explanation,eclipse,An eclipse course when The Earth or the moon blocks the suns light 
E-BS,L-E,explanation,eclipse,A solar eclipse happens when The moon is between the sun and the earth and the moon blocks the suns light 
E-BS,L-EE,explanation,eclipse,A lunar eclipse is when the earth is between the moon and the sun in which the sun shines on earth and makes a shadow on the moon which makes the moon in total darkness 
E-BS,L-E,explanation,shadow,A shadow is when light is shewn on a opaque object and the shadow is what is behind the opaque object 
E-S,L-EF,fact,shadow,When colored light is shined at a opaque object the shadow is black like a normal shadow but when you shine two colored lights there are two shadow and the colors are the colors of the light 
E-S,L-EF,fact,sundial,Sundials are a form of telling time You can tell the time by the position of the shadow 
E-BS,L-EF,fact,shadow,Shadows also are used to tell directions like north and south you also look at the shadow and that will tell you the direction you are walking in 
E-S,L-E,explanation,travel,light travels in all directions I need to understand does light travel in a strait line or something else My theory's that light travels in wave lines but they appear straight 
E-BS,L-E,explanation,see,All we see is light 
E-S,L-F,fact,pri&sec,the primary colors of light are red green and blue 
E-S,L-F,fact,pri&sec,The secondary colors of light are Yellow magenta and cyan 
E-S,L-F,fact,pri&sec,White light is made from the primary colors mixed 
E-BS,L-EE,explanation,objects,If a white light is shined on a red flower the green and blue is absorbed and the red is reflected that is how we see a red flower 
E-BS,L-E,explanation,pri&sec,if you shine white light on a yellow flower the red and green is reflected and the blue is absorbed 
E-BS,L-F,fact,prism&rainbow,If you shine light on a prism it makes a rainbow
E-BS,L-E,explanation,rainbow,We belove that a rain drop can make a rainbow 
E-BS,L-F,fact,postimage,Eye cones are cones in your eyes that help you see colors 
E-BS,L-F,fact,northern,Northern lights are colored lights 
E-BS,L-F,fact,materials,Transparent objects are objects that can not be seen through and are opaque 
E-BS,L-F,fact,materials,Translucent objects are objects are you can see through but not perfectly 
E-BS,L-F,fact,materials,An opaque object is a object that is sold and cannot be seen through 
E-BS,L-EF,fact,reflection,A concave mirror is a mirror that goes in and when light is shewn on it the light gets focused 
E-BS,L-EF,fact,reflection,A convex mirror is a mirror that goes out and when you shine light on it the light bounces off straight looking 
E-BS,L-F,fact,reflection,The law of reflection is the angle of incidence equals the angle of reflection 
E-BS,L-F,fact,diffused,If you shine a light source on a crinkly piece of tinfoil the reflection goes every where and is called a diffuse reflection 
E-BS,L-F,fact,lens,A concave lens goes in 
E-BS,L-F,fact,lens,and a convex lens goes out 
E-BS,L-F,fact,sunpanel,Solar panels are panels used with light 
E-BS,L-F,fact,bio,Photoluminescence is a animal that makes its own light 
E-BS,L-F,fact,glow,Chemiluminescence is chemical made light 
E-BS,L-F,fact,glow,fluorescence is things that glow like a glow sticks from a party 
E-BS,L-F,fact,laser,Lasers are a really strong form of light 